time,ax,ay,az
44:47.1,-0.46,-0.18,-0.23
44:47.2,-0.1,-0.25,0.85
44:47.3,-0.26,0.47,0.45
44:47.4,-0.02,0.81,0.43
44:47.5,0.18,0.87,-0.65
44:47.6,-0.07,-0.6,-0.22
44:47.7,-0.26,-0.65,-0.74
44:47.8,0.67,1.35,0.8
44:47.9,0.39,0.54,-1.36
44:48.0,0.08,0.65,-0.66
44:48.1,-0.57,-0.51,-0.06
44:48.2,-0.22,0.06,0.96
44:48.3,-0.27,0.47,0.13
44:48.4,-0.29,0.59,0.36
44:48.5,0.29,0.91,-0.76
44:48.6,0.12,-0.75,-0.62
44:48.7,-0.4,-0.66,-0.54
44:48.8,0.54,0.85,0.67
44:48.9,0.66,0.65,-0.98
44:49.0,-0.16,0.54,-0.54
44:49.1,-0.42,-0.42,0.04
44:49.2,0.03,0.13,0.87
44:49.3,-0.06,0.59,0.62
44:49.4,-0.12,0.47,-0.18
44:49.5,0.23,0.06,-0.49
44:49.6,-0.22,-0.77,-1.08
44:49.7,-0.17,-0.34,0.6
44:49.8,-0.22,-0.57,0.21
44:49.9,0.08,-0.42,-0.79
44:50.0,-0.48,0.39,-0.45
44:50.1,-0.17,-0.24,0.45
44:50.2,-0.11,-0.01,0.16
44:50.3,0.34,0.53,1.18
44:50.4,-0.04,0.96,-0.58
44:50.5,0.13,-0.31,-0.59
44:50.6,-0.26,-0.74,-0.71
44:50.7,0.38,0.08,2.13
44:50.8,0.3,1.05,-0.23
44:50.9,0.23,-0.29,-0.81
44:51.0,-0.43,0.31,-0.37
44:51.1,-0.14,-0.45,0.88
44:51.2,-0.24,0.12,0.06
44:51.3,0.3,0.43,1.07
44:51.4,-0.05,0.62,-0.56
44:51.5,-0.05,-0.41,-0.53
44:51.6,-0.25,-0.68,-0.66
44:51.7,0.76,0.55,2.75
44:51.8,-0.49,-0.02,-0.23
44:51.9,0.22,-0.01,-0.62
44:52.0,-0.42,-0.05,-0.33
44:52.1,-0.23,-0.09,0.28
44:52.2,-0.17,0.28,0.4
44:52.3,0.25,0.42,1.4
44:52.4,-0.06,0.98,-0.78
44:52.5,0.1,-0.64,-0.54
44:52.6,-0.5,-0.44,-0.41
44:52.7,1.11,1.31,1.77
44:52.8,0.16,0.62,-0.8
44:52.9,0.05,0.42,-0.73
44:53.0,-0.59,-0.25,-0.14
44:53.1,-0.18,0.03,0.45
44:53.2,-0.07,0.29,0.24
44:53.3,-0.22,0.83,0.68
44:53.4,0.13,0.95,-0.73
44:53.5,0.01,-0.78,-0.63
44:53.6,-0.51,-0.45,-0.31
44:53.7,0.86,0.99,0.5
44:53.8,0.3,0.11,-1.03
44:53.9,0.03,1.01,-0.72
44:54.0,-0.52,-0.62,0.01
44:54.1,0.11,0.04,1.19
44:54.2,-0.1,0.81,0.38
44:54.3,-0.25,0.8,-0.23
44:54.4,0.19,0.33,-0.58
44:54.5,-0.39,-0.64,0.04
44:54.6,-0.19,-0.52,-0.25
44:54.7,0.03,-0.48,-0.04
44:54.8,0.33,-0.31,-0.84
44:54.9,-0.33,0.39,-0.36
44:55.0,-0.32,-0.54,0.61
44:55.1,-0.04,0.15,0.26
44:55.2,0.21,0.66,1.24
44:55.3,-0.28,1.18,-0.64
44:55.4,0.2,-0.25,-0.57
44:55.5,-0.51,-0.52,0.17
44:55.6,0.44,0.28,3.06
44:55.7,-0.74,-1.05,-0.39
44:55.8,0.42,-0.31,-0.9
44:55.9,-0.2,0.29,-0.47
44:56.0,-0.29,-0.46,0.09
44:56.1,-0.4,0.24,0.34
44:56.2,-0.18,0.73,0.92
44:56.3,0.25,0.86,-0.65
44:56.4,0.25,-0.56,-0.57
44:56.5,-0.58,-0.57,-0.38
44:56.6,0.88,0.78,2.73
44:56.7,0.11,0.74,-0.34
44:56.8,0.21,0.42,-0.6
44:56.9,-0.64,-0.26,-0.23
44:57.0,0.04,-0.16,0.95
44:57.1,-0.09,0.13,0.16
44:57.2,-0.21,0.76,1.32
44:57.3,0.05,0.94,-0.94
44:57.4,0.23,-0.56,-0.63
44:57.5,-0.32,-0.53,1.65
44:57.6,0.62,1.03,1.53
44:57.7,-0.09,0.75,-0.22
44:57.8,-0.12,0.26,-0.55
44:57.9,-0.48,-0.43,-0.16
44:58.0,0.18,-0.18,0.79
44:58.1,0.1,0.65,0.99
44:58.2,-0.29,0.8,0.06
44:58.3,0.31,0.81,-0.69
44:58.4,-0.11,-0.87,-1.23
44:58.5,-0.44,-0.68,-0.45
44:58.6,0.93,0.89,0.18
44:58.7,0.52,0.56,-1
44:58.8,-0.08,0.92,-0.67
44:58.9,-0.44,-0.72,-0.01
44:59.0,-0.05,0.04,0.84
44:59.1,-0.06,0.57,0.54
44:59.2,-0.27,0.7,0.01
44:59.3,0.26,0.35,-0.65
44:59.4,-0.22,-0.73,-1.25
44:59.5,-0.24,-0.63,-0.07
44:59.6,0.39,-0.01,0.12
44:59.7,0.26,-0.52,-0.74
44:59.8,-0.47,0.81,-0.47
44:59.9,-0.28,-0.64,0.33
45:00.0,-0.18,0.13,0.3
45:00.1,0.11,0.69,0.81
45:00.2,-0.26,1.03,-0.29
45:00.3,0.13,-0.07,-0.66
45:00.4,-0.18,-0.73,-0.75
45:00.5,-0.06,-0.63,-0.05
45:00.6,0.16,-0.35,0.16
45:00.7,0.1,-0.68,-0.71
45:00.8,-0.32,0.68,-0.44
45:00.9,-0.27,-0.56,0.35
45:01.0,-0.2,-0.02,0.31
45:01.1,0,0.73,0.85
45:01.2,-0.12,0.66,-0.34
45:01.3,0.24,0.08,-0.58
45:01.4,-0.86,-0.43,-0.17
45:01.5,-0.17,-0.8,-0.51
45:01.6,0.5,0.34,0.3
45:01.7,-0.04,-0.7,-0.89
45:01.8,-0.21,1.2,-0.56
45:01.9,-0.06,-0.72,1.24
45:02.0,-0.14,-0.26,0.16
45:02.1,0.2,0.75,0.56
45:02.2,-0.18,0.66,-0.26
45:02.3,0.07,-0.09,-0.7
45:02.4,-0.55,-0.89,-0.97
45:02.5,-0.3,-0.63,0.54
45:02.6,1.2,0.21,0.36
45:02.7,-0.67,-0.27,-0.81
45:02.8,-0.03,0.22,-1.21
45:02.9,-0.05,-0.59,-0.04
45:03.0,-0.46,0.1,0.61
45:03.1,0.42,0.56,0.68
45:03.2,0.05,0.39,-0.11
45:03.3,-0.13,0.41,-0.37
45:03.4,-0.19,-0.7,-1.11
45:03.5,-0.22,-0.22,1
45:03.6,0.53,0.57,-1.04
45:03.7,0.22,0.76,-0.2
45:03.8,0.01,0.9,0.12
45:03.9,0.75,-0.28,0.51
45:04.0,-0.13,-0.52,0.04
45:04.1,-0.71,-0.8,-0.47
45:04.2,-0.03,0.27,0.27
45:04.3,-0.44,0.64,-0.18
45:04.4,-0.17,0.15,0.08
45:04.5,-0.31,0.19,0.2
45:04.6,-0.16,-0.03,0.32
