time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,-0.1823,-0.1200,0.0038,0.218
0.003000,-0.1848,-0.1151,-0.0577,0.225
0.006000,-0.1424,-0.1029,-0.1141,0.209
0.011000,-0.0863,-0.0953,-0.1462,0.195
0.015000,-0.0548,-0.0873,-0.1563,0.187
0.020000,-0.0192,-0.0768,-0.1470,0.167
0.025000,0.0087,-0.0731,-0.1164,0.138
0.030000,0.0291,-0.0763,-0.0623,0.103
0.035000,0.0350,-0.0723,-0.0184,0.082
0.040000,0.0337,-0.0659,0.0129,0.075
0.049000,0.0372,-0.0620,0.0346,0.080
0.053000,0.0741,-0.1178,0.0544,0.149
0.059000,0.1110,-0.1593,0.1029,0.220
0.063000,0.1647,-0.1750,0.1588,0.288
0.068000,0.1853,-0.2103,0.1720,0.329
0.072000,0.1659,-0.2721,0.1714,0.362
0.078000,0.1614,-0.3341,0.1498,0.400
0.082000,0.1671,-0.3915,0.0977,0.437
0.087000,0.1616,-0.4493,-0.0057,0.478
0.092000,0.1163,-0.5170,-0.1430,0.549
0.096000,0.0647,-0.5942,-0.2542,0.650
0.101000,0.0278,-0.6901,-0.3536,0.776
0.106000,0.0295,-0.7715,-0.3842,0.862
0.114000,0.0935,-0.8483,-0.2703,0.895
0.118000,0.2341,-1.0093,0.0324,1.037
0.120000,0.4797,-1.2852,0.4938,1.458
0.125000,0.6282,-1.4428,0.9555,1.841
0.130000,0.6998,-1.5121,1.1986,2.053
0.135000,0.7284,-1.6765,1.2816,2.232
0.139000,0.6641,-1.7781,1.2489,2.272
0.144000,0.6549,-1.7749,1.0449,2.161
0.148000,0.6909,-1.6532,0.8512,1.984
0.153000,0.7407,-1.5373,0.7102,1.848
0.158000,0.7018,-1.4577,0.5266,1.701
0.168000,0.5831,-1.2680,0.2535,1.418
0.172000,0.4981,-0.8252,-0.2850,1.005
0.178000,0.4865,-0.7290,-0.3562,0.946
0.182000,0.3738,-0.6363,-0.4112,0.845
0.187000,0.2343,-0.5515,-0.5130,0.789
0.191000,0.0988,-0.4148,-0.6559,0.782
0.197000,-0.1782,-0.2282,-0.7166,0.773
0.201000,-0.5517,-0.1144,-0.7576,0.944
0.205000,-0.7934,-0.1435,-0.9327,1.233
0.214000,-0.8454,-0.1767,-1.1737,1.457
0.216000,-0.8399,-0.0977,-1.3597,1.601
0.220000,-0.8509,-0.0049,-1.3692,1.612
0.225000,-0.7984,0.0708,-1.2386,1.475
0.230000,-0.7676,0.1013,-1.1232,1.364
0.234000,-0.8519,-0.2433,-1.1254,1.432
0.239000,-0.7679,-0.4423,-1.0261,1.356
0.244000,-0.6661,-0.1519,-0.8974,1.128
0.248000,-0.5671,0.0837,-0.8499,1.025
0.253000,-0.2766,0.2424,-0.7286,0.816
0.258000,-0.1104,0.3865,-0.5158,0.654
0.263000,-0.0563,0.3914,-0.3178,0.507
0.268000,0.1395,0.3261,-0.2219,0.418
0.272000,0.3000,0.3989,-0.0646,0.503
0.285000,0.3031,0.4876,0.0014,0.574
0.287000,0.3430,0.4484,0.0119,0.565
0.291000,0.2324,0.4857,0.2791,0.606
0.296000,0.0617,0.4899,0.0584,0.497
0.301000,-0.1240,0.4256,-0.0239,0.444
0.305000,-0.2601,0.2621,0.1366,0.394
0.314000,-0.3010,0.1138,0.2641,0.416
0.315000,-0.4141,-0.0192,0.3989,0.575
0.320000,-0.5371,-0.0436,0.3473,0.641
0.325000,-0.5478,0.0041,0.1860,0.579
0.329000,-0.5221,0.0994,0.2167,0.574
0.334000,-0.3873,0.3013,0.5603,0.745
0.339000,-0.0786,0.4249,0.7272,0.846
0.343000,0.0663,0.4587,0.6648,0.810
0.348000,0.1671,0.5436,0.5498,0.791
0.353000,0.3842,0.7272,0.4002,0.915
0.357000,0.5744,0.9323,0.5459,1.224
0.362000,0.7815,1.0248,0.7377,1.485
0.367000,0.9219,0.9735,0.8767,1.602
0.372000,0.6453,0.9760,0.9428,1.503
0.378000,-0.0680,1.2699,0.8700,1.541
0.382000,0.0700,1.4126,0.6854,1.572
0.386000,1.8102,0.4133,1.2545,2.241
0.391000,2.8399,-0.2811,2.8700,4.047
0.396000,2.5765,-0.1565,3.3372,4.219
0.405000,1.8976,-0.7240,2.6041,3.302
0.411000,0.4009,-1.9437,1.7003,2.613
0.415000,0.0670,-2.1906,1.1655,2.482
0.420000,-0.4541,-2.1857,0.7314,2.349
0.424000,-1.5018,-2.0828,0.3874,2.597
0.429000,-2.3408,-1.9523,-0.3336,3.066
0.434000,-2.8412,-1.6738,-1.0007,3.446
0.438000,-2.9991,-1.2543,-1.6303,3.637
0.443000,-2.7740,-0.7615,-2.1124,3.569
0.448000,-2.1217,-0.3164,-1.9744,2.915
0.453000,-1.2490,0.1202,-1.6896,2.105
0.457000,-0.4919,0.4779,-1.6490,1.786
0.463000,0.3091,0.6813,-1.7810,1.932
0.467000,0.9084,0.6706,-1.8957,2.206
0.472000,1.1515,0.6824,-2.1683,2.548
0.477000,1.4653,0.9770,-2.5799,3.124
0.482000,1.8413,1.2211,-2.4793,3.321
0.487000,2.1992,1.3498,-1.8771,3.191
0.492000,2.2972,1.2489,-1.1664,2.863
0.498000,1.9916,0.7422,-0.3024,2.147
0.501000,1.5738,0.0961,-0.2172,1.592
0.506000,1.0248,-0.6544,-1.2658,1.755
0.510000,0.2970,-1.4789,-2.0476,2.543
0.515000,-0.4829,-2.1658,-2.1205,3.069
0.524000,-1.3930,-2.5905,-1.5085,3.306
0.536000,-3.0363,-2.8979,0.6315,4.244
0.537000,-3.2865,-2.7366,1.4993,4.532
0.539000,-3.4309,-2.4785,1.9388,4.655
0.544000,-3.1021,-2.0983,1.6351,4.086
0.560000,-2.1386,-1.8481,0.7986,2.937
0.561000,-1.4285,-1.8977,0.3964,2.408
0.562000,-1.2156,-1.9237,0.6467,2.366
0.565000,-1.1241,-1.8188,1.1098,2.409
