time,ax,ay,az
43:55.0,-0.06,-0.01,0.2
43:55.1,0.85,-0.46,-0.72
43:55.2,-0.41,-0.09,-0.04
43:55.3,0.33,0.48,0.41
43:55.4,0.65,1.01,0.22
43:55.5,-1.7,0.19,-0.22
43:55.6,-0.38,-0.68,0.56
43:55.7,0.07,0.02,-0.1
43:55.8,-0.05,-0.46,0.7
43:55.9,0.07,0.29,0.14
43:56.0,0.28,0.16,-0.26
43:56.1,0.68,-0.18,0.14
43:56.2,0.03,-0.1,0.4
43:56.3,-0.47,-0.34,0.95
43:56.4,0.57,0.37,-0.41
43:56.5,-0.51,0.69,0.08
43:56.6,-0.12,-0.49,0.08
43:56.7,-0.04,0.46,0.33
43:56.8,-0.31,-0.02,0.45
43:56.9,-0.71,0.45,0.61
43:57.0,0.11,0.37,-0.55
43:57.1,-0.08,-0.46,0.46
43:57.2,-0.44,-0.45,-0.68
43:57.3,1.05,1.17,1.33
43:57.4,0.11,0.02,-0.71
43:57.5,-0.04,0.37,-0.43
43:57.6,-0.68,-0.62,-0.1
43:57.7,-0.12,-0.13,0.3
43:57.8,0.24,0.48,0.73
43:57.9,-0.09,0.61,0.67
43:58.0,-0.01,0.73,-0.55
43:58.1,-0.17,-0.82,-1.33
43:58.2,-0.26,-0.63,-0.62
43:58.3,0.65,1.04,0.62
43:58.4,0.16,0.04,-0.94
43:58.5,-0.07,0.49,-0.5
43:58.6,-0.48,-0.66,0.1
43:58.7,0.12,0.15,0.97
43:58.8,-0.17,0.54,0.15
43:58.9,-0.42,0.74,0.06
43:59.0,0.32,0.55,-0.66
43:59.1,0.03,-0.74,-1.08
43:59.2,-0.33,-0.65,-0.01
43:59.3,0.4,0.51,0.36
43:59.4,0.31,0.41,-0.78
43:59.5,-0.17,0.51,-0.45
43:59.6,-0.5,-0.64,0.05
43:59.7,0.01,0.2,0.59
43:59.8,-0.04,0.63,0.47
43:59.9,-0.32,0.59,0.15
44:00.0,0.26,0.53,-0.6
44:00.1,-0.14,-0.74,-1.17
44:00.2,-0.46,-0.6,-0.14
44:00.3,0.59,0.18,-0.14
44:00.4,0.26,0.11,-0.64
44:00.5,-0.38,0.59,-0.53
44:00.6,-0.26,-0.61,0.14
44:00.7,0.18,0.38,0.83
44:00.8,0.07,0.71,0.42
44:00.9,-0.28,0.61,-0.11
44:01.0,0.14,0.11,-0.53
44:01.1,-0.24,-0.6,-0.8
44:01.2,-0.12,-0.41,-0.06
44:01.3,0.33,-0.43,0.02
44:01.4,0.25,0.2,-0.65
44:01.5,-0.45,0.48,-0.41
44:01.6,-0.35,-0.55,0.14
44:01.7,-0.08,0.19,0.48
44:01.8,-0.02,0.77,0.47
44:01.9,-0.13,0.62,-0.32
44:02.0,0.12,-0.29,-0.67
