time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.2422,0.4071,0.4986,0.688
0.004000,0.4523,0.4352,0.6567,0.908
0.014000,0.3651,0.4172,0.5079,0.752
0.018000,0.1663,0.3689,0.2363,0.469
0.023000,0.4465,0.2069,0.5701,0.753
0.028000,0.4718,0.0383,0.9021,1.019
0.033000,0.5489,-0.0035,0.8549,1.016
0.037000,0.7137,-0.0569,0.3858,0.813
0.042000,0.4611,-0.1814,-0.0131,0.496
0.047000,-0.0250,-0.2414,-0.0740,0.254
0.052000,-0.2698,-0.1872,-0.0275,0.330
0.057000,-0.2690,-0.1410,-0.0435,0.307
0.061000,-0.2696,-0.1645,-0.0860,0.327
0.066000,-0.3986,-0.2222,-0.1291,0.474
0.071000,-0.6299,-0.2766,-0.1991,0.716
0.075000,-0.7638,-0.2992,-0.2842,0.868
0.081000,-0.5745,-0.2516,-0.2961,0.694
0.085000,0.0070,-0.1120,-0.2107,0.239
0.090000,0.4627,-0.0323,-0.1227,0.480
0.094000,0.2651,-0.1495,-0.1741,0.351
0.099000,-0.0542,-0.2432,-0.4450,0.510
0.104000,0.0320,-0.1739,-0.7416,0.762
0.109000,0.1376,-0.1004,-0.7551,0.774
0.113000,0.0015,-0.0994,-0.4662,0.477
0.118000,-0.0708,-0.0922,-0.2217,0.250
0.123000,0.0048,-0.0668,-0.2497,0.258
0.133000,0.0482,-0.0641,-0.3581,0.367
0.138000,0.0512,-0.0215,-0.2209,0.228
0.143000,0.0401,0.0561,-0.1345,0.151
0.148000,0.0339,0.1305,-0.1390,0.194
0.152000,0.0068,0.1692,-0.1814,0.248
0.157000,-0.0363,0.1867,-0.2115,0.284
0.162000,-0.0431,0.2072,-0.2105,0.299
0.166000,-0.0210,0.2352,-0.1764,0.295
0.171000,-0.0106,0.2396,-0.0949,0.258
0.175000,-0.0142,0.2133,-0.0188,0.215
0.187000,-0.0200,0.1871,0.0212,0.189
0.188000,-0.0354,0.1562,0.0395,0.165
0.189000,-0.0509,0.1277,0.0481,0.146
0.194000,-0.0547,0.1111,0.0731,0.144
0.199000,-0.0447,0.1016,0.0859,0.140
0.204000,-0.0448,0.1017,0.0818,0.138
0.209000,-0.0621,0.0970,0.0678,0.134
0.214000,-0.0729,0.0926,0.0536,0.129
0.218000,-0.0650,0.0930,0.0559,0.127
0.223000,-0.0431,0.0770,0.0676,0.111
0.228000,-0.0024,0.0591,0.0672,0.090
0.233000,0.0594,0.0438,0.0692,0.101
