time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.1672,-0.0017,-0.0504,0.175
0.002000,0.0826,-0.0041,-0.0425,0.093
0.008000,-0.0014,-0.0017,-0.0516,0.052
0.012000,-0.1014,0.0055,-0.0581,0.117
0.017000,-0.1104,-0.0016,-0.0313,0.115
0.023000,-0.0815,0.0056,-0.0165,0.083
0.027000,-0.0337,0.0079,-0.0088,0.036
0.032000,0.0208,0.0055,0.0085,0.023
0.036000,0.0654,-0.0041,0.0471,0.081
0.042000,0.0862,-0.0112,0.0925,0.127
0.046000,0.1045,-0.0017,0.0926,0.140
0.050000,0.1038,0.0100,0.0760,0.129
0.055000,0.0841,0.0146,0.0597,0.104
0.060000,0.0529,0.0166,0.0482,0.073
0.064000,0.0171,0.0163,0.0583,0.063
0.069000,0.0126,0.0160,0.0614,0.065
0.074000,0.0177,0.0109,0.0599,0.063
0.079000,0.0371,0.0129,0.0394,0.056
0.083000,0.0659,0.0077,0.0239,0.071
0.088000,0.0755,-0.0093,0.0371,0.085
0.093000,0.0899,-0.0285,0.0455,0.105
0.098000,0.0995,-0.0452,0.0516,0.121
0.102000,0.0971,-0.0619,0.0625,0.131
0.107000,0.0783,-0.0784,0.0994,0.149
0.117000,0.0501,-0.0995,0.1506,0.187
0.128000,0.0055,-0.1015,0.1754,0.203
0.129000,-0.0222,-0.0797,0.1622,0.182
0.132000,-0.0424,-0.0653,0.1374,0.158
0.135000,-0.0341,-0.0558,0.1200,0.137
0.141000,-0.0235,-0.0487,0.1220,0.133
0.145000,-0.0059,-0.0487,0.1194,0.129
0.150000,0.0138,-0.0394,0.1265,0.133
0.156000,0.0311,-0.0135,0.1362,0.140
0.160000,0.0341,0.0169,0.1058,0.112
0.164000,0.0038,0.0351,0.0899,0.097
0.169000,-0.0144,0.0390,0.1098,0.117
0.174000,-0.0040,0.0452,0.1346,0.142
0.179000,-0.0009,0.0347,0.1381,0.142
0.183000,-0.0191,0.0028,0.1107,0.112
0.188000,-0.0348,-0.0358,0.0576,0.076
0.193000,-0.0457,-0.0599,0.0145,0.077
0.198000,-0.0423,-0.0648,0.0384,0.086
0.203000,-0.0223,-0.0602,0.0599,0.088
0.207000,-0.0048,-0.0604,0.0267,0.066
0.212000,0.0172,-0.0558,-0.0014,0.058
0.218000,0.0415,-0.0418,-0.0150,0.061
0.225000,0.0490,-0.0303,-0.0117,0.059
0.232000,0.0542,-0.0237,0.0153,0.061
0.236000,0.0547,0.0018,-0.0431,0.070
0.247000,0.0599,0.0082,-0.0726,0.095
0.247000,0.0724,0.0192,-0.0592,0.095
0.250000,0.0730,0.0348,-0.0292,0.086
0.255000,0.0546,0.0432,-0.0110,0.070
0.259000,0.0053,0.0420,0.0026,0.042
0.264000,-0.0580,0.0384,0.0307,0.076
0.269000,-0.1209,0.0254,0.0399,0.130
0.274000,-0.1360,0.0149,0.0230,0.139
0.278000,-0.1035,0.0425,-0.0199,0.114
0.283000,-0.0617,0.0556,-0.0435,0.094
0.288000,-0.0176,0.0329,-0.0172,0.041
0.293000,0.0523,0.0033,-0.0196,0.056
0.297000,0.1337,-0.0403,-0.0720,0.157
0.302000,0.2146,-0.0764,-0.1335,0.264
0.307000,0.2999,-0.0791,-0.1782,0.358
0.312000,0.3396,-0.0723,-0.1726,0.388
0.317000,0.3199,-0.0703,-0.1220,0.350
0.329000,0.2743,-0.0874,-0.0930,0.303
