time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.594000,-1.1923,0.3013,1.9893,2.339
0.599000,-1.1276,0.3277,2.4897,2.753
0.603000,-1.0134,0.3892,2.8935,3.090
0.608000,-0.8772,0.4646,3.1549,3.307
0.612000,-0.7563,0.5453,3.2191,3.351
0.617000,-0.6953,0.6228,3.1533,3.289
0.622000,-0.6770,0.7243,2.9984,3.158
0.626000,-0.6988,0.8151,2.7404,2.943
0.631000,-0.7512,0.8718,2.4274,2.686
0.636000,-0.8662,0.8356,2.0388,2.368
0.640000,-1.1095,0.6548,1.5731,2.033
0.645000,-1.4555,0.3666,1.0814,1.850
0.650000,-1.6996,0.2529,0.6191,1.826
0.654000,-1.5610,0.6442,0.3057,1.716
0.659000,-1.1014,1.3635,0.1528,1.759
0.664000,-0.6556,1.9551,0.0366,2.062
0.669000,-0.4462,2.1795,-0.1134,2.228
0.674000,-0.5138,2.0796,-0.2458,2.156
0.678000,-0.7679,1.7648,-0.1932,1.934
0.683000,-1.0595,1.3924,0.1579,1.757
0.688000,-1.2459,1.1173,0.6936,1.812
0.693000,-1.2640,0.9632,1.2172,2.002
0.699000,-1.1329,0.9133,1.5971,2.161
0.703000,-0.9459,0.9646,1.8862,2.320
0.707000,-0.8309,1.0835,2.2705,2.649
0.712000,-0.7662,1.2647,2.7532,3.125
0.717000,-0.6228,1.4558,3.1612,3.536
0.722000,-0.4882,1.5623,3.3320,3.712
0.726000,-0.4663,1.5528,3.2635,3.644
0.731000,-0.4941,1.4671,3.1163,3.480
0.735000,-0.5107,1.3832,2.9524,3.300
0.740000,-0.5208,1.3280,2.7288,3.079
0.745000,-0.5149,1.3042,2.4601,2.832
0.750000,-0.4433,1.3589,2.2254,2.645
0.754000,-0.3576,1.4650,1.9916,2.498
0.759000,-0.3589,1.5596,1.7138,2.345
0.764000,-0.4269,1.5970,1.4116,2.174
0.769000,-0.5054,1.5484,1.0597,1.943
0.773000,-0.6218,1.4500,0.6538,1.708
0.779000,-0.7629,1.3355,0.2258,1.554
0.783000,-0.8508,1.2669,-0.1760,1.536
0.788000,-0.8506,1.2680,-0.4631,1.596
0.793000,-0.8009,1.3334,-0.6525,1.687
0.798000,-0.7237,1.4319,-0.7920,1.789
0.802000,-0.6121,1.5442,-0.8937,1.886
0.807000,-0.5188,1.6464,-0.9647,1.977
0.812000,-0.4914,1.7289,-0.9862,2.050
0.817000,-0.5005,1.7799,-0.9560,2.081
0.821000,-0.5167,1.7856,-0.8866,2.059
0.826000,-0.5036,1.7628,-0.8093,2.004
0.830000,-0.4506,1.7215,-0.6912,1.909
0.835000,-0.4073,1.6521,-0.5328,1.783
0.841000,-0.4135,1.5618,-0.3559,1.654
0.845000,-0.4562,1.4984,-0.1445,1.573
0.850000,-0.5048,1.4453,0.1294,1.536
0.854000,-0.5869,1.3432,0.3765,1.513
0.859000,-0.7325,1.1831,0.4941,1.477
0.865000,-0.8881,1.0232,0.5322,1.456
0.869000,-1.0035,0.8568,0.4672,1.400
0.873000,-1.0797,0.6914,0.2475,1.306
0.878000,-1.0992,0.6124,-0.0757,1.261
0.883000,-1.0564,0.6787,-0.3798,1.312
0.888000,-0.9577,0.8701,-0.6548,1.450
0.892000,-0.8076,1.1210,-0.9212,1.661
0.898000,-0.5971,1.3916,-1.1998,1.932
0.903000,-0.3742,1.6354,-1.4703,2.231
0.907000,-0.2240,1.8638,-1.7348,2.556
0.911000,-0.1831,2.0790,-2.0453,2.922
0.916000,-0.2207,2.2148,-2.3585,3.243
0.921000,-0.2605,2.2814,-2.5595,3.439
0.925000,-0.2276,2.2837,-2.4484,3.356
0.930000,-0.1914,2.1956,-1.9600,2.949
0.935000,-0.2521,1.9691,-1.2421,2.342
0.941000,-0.3698,1.6597,-0.5656,1.792
0.945000,-0.5366,1.3395,-0.1361,1.449
