time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,0.2196,0.2810,-0.2750,0.450
0.006000,0.3544,0.2975,-0.0956,0.472
0.010000,0.3768,0.2284,0.0730,0.447
0.015000,0.2755,0.0530,0.1906,0.339
0.020000,0.1603,-0.1683,0.2005,0.307
0.025000,0.0430,-0.3546,0.0820,0.366
0.031000,-0.1265,-0.5203,-0.1021,0.545
0.039000,-0.2836,-0.5493,-0.1585,0.638
0.040000,-0.3239,-0.4237,-0.0405,0.535
0.051000,-0.1946,-0.1614,0.0603,0.260
0.053000,0.2151,0.3599,-0.1126,0.434
0.058000,0.3312,0.4399,-0.1198,0.564
0.063000,0.3061,0.3911,-0.0193,0.497
0.067000,0.1601,0.2571,0.0594,0.309
0.072000,-0.0679,0.1100,0.0900,0.158
0.077000,-0.3085,-0.0334,0.1222,0.333
0.081000,-0.4785,-0.1328,0.1323,0.514
0.086000,-0.5713,-0.1909,0.1276,0.616
0.091000,-0.5826,-0.2129,0.1602,0.641
0.095000,-0.5369,-0.2299,0.2705,0.644
0.101000,-0.4680,-0.2490,0.3818,0.653
0.105000,-0.4118,-0.2395,0.4209,0.636
0.110000,-0.3730,-0.2158,0.4171,0.600
0.115000,-0.3067,-0.1662,0.3259,0.477
0.120000,-0.1962,-0.0505,0.1314,0.241
0.125000,-0.1109,0.0974,-0.1040,0.181
0.129000,-0.1123,0.2038,-0.3159,0.392
0.134000,-0.1879,0.2286,-0.4499,0.539
0.139000,-0.3108,0.2177,-0.5190,0.643
0.143000,-0.4569,0.1737,-0.5261,0.718
0.148000,-0.5785,0.0566,-0.4554,0.738
0.153000,-0.6331,-0.0571,-0.3170,0.710
0.158000,-0.6400,-0.1508,-0.1090,0.666
0.162000,-0.6185,-0.2270,0.1185,0.669
0.172000,-0.5665,-0.2835,0.2917,0.697
0.177000,-0.3115,-0.2421,0.4017,0.563
0.182000,-0.1824,-0.1370,0.3803,0.444
0.186000,-0.1045,-0.0375,0.3310,0.349
0.191000,-0.0988,0.0209,0.2419,0.262
0.196000,-0.1457,0.0384,0.1300,0.199
0.200000,-0.2260,0.0250,0.0167,0.228
0.205000,-0.3320,0.0141,-0.0505,0.336
0.210000,-0.4235,0.0177,-0.0315,0.425
0.214000,-0.4861,0.0022,0.0208,0.487
0.220000,-0.5201,-0.0535,0.0730,0.528
0.224000,-0.5045,-0.1276,0.0966,0.529
0.230000,-0.4608,-0.1703,0.0895,0.499
0.234000,-0.4155,-0.1460,0.0942,0.450
0.238000,-0.3519,-0.1005,0.1202,0.385
0.243000,-0.2702,-0.0577,0.1436,0.311
0.248000,-0.1847,-0.0247,0.1409,0.234
0.252000,-0.1098,-0.0276,0.1219,0.166
0.257000,-0.0502,-0.0445,0.0819,0.106
0.262000,-0.0080,-0.0637,0.0566,0.086
0.267000,0.0121,-0.0612,0.0505,0.080
0.271000,0.0153,-0.0421,0.0801,0.092
0.277000,-0.0032,-0.0302,0.1453,0.148
0.281000,-0.0575,-0.0373,0.1793,0.192
0.286000,-0.1188,-0.0585,0.1920,0.233
0.295000,-0.1817,-0.0725,0.1933,0.275
0.300000,-0.3046,-0.0672,0.2212,0.382
0.305000,-0.3437,-0.0595,0.2683,0.440
0.310000,-0.3353,-0.0566,0.3131,0.462
0.315000,-0.2821,-0.0845,0.3318,0.444
0.319000,-0.2059,-0.1335,0.3246,0.407
0.324000,-0.1091,-0.1702,0.3153,0.374
0.329000,-0.0273,-0.1589,0.2917,0.333
0.338000,0.0182,-0.1073,0.2416,0.265
0.338000,-0.0078,-0.0988,0.1940,0.218
0.343000,-0.1097,-0.1353,0.1608,0.237
0.348000,-0.2582,-0.1762,0.1612,0.352
0.352000,-0.4389,-0.2167,0.1925,0.526
0.357000,-0.5757,-0.2235,0.2191,0.655
0.362000,-0.6120,-0.1922,0.2197,0.678
0.367000,-0.5322,-0.1420,0.1588,0.573
0.371000,-0.3535,-0.0874,0.0655,0.370
0.376000,-0.1481,-0.0427,-0.0387,0.159
0.381000,0.0602,-0.0078,-0.1372,0.150
0.386000,0.2381,0.0128,-0.1993,0.311
0.390000,0.3502,0.0285,-0.2230,0.416
