time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.0439,0.0095,-0.0989,0.109
0.003000,-0.0273,-0.0168,-0.0694,0.076
0.005000,-0.0036,-0.0500,-0.0333,0.060
0.044000,0.0246,-0.0781,0.0096,0.082
0.044000,0.0574,-0.1132,0.0403,0.133
0.044000,0.0758,-0.1645,0.0851,0.200
0.044000,0.0871,-0.1965,0.1368,0.255
0.044000,0.1152,-0.2045,0.1763,0.294
0.044000,0.1313,-0.1982,0.2086,0.316
0.044000,0.1284,-0.1850,0.2528,0.339
0.048000,0.1185,-0.1648,0.2781,0.344
0.052000,0.0635,-0.1472,0.2247,0.276
0.057000,0.0469,-0.1201,0.1881,0.228
0.064000,0.0423,-0.1193,0.1205,0.175
0.067000,0.0235,-0.1231,0.0532,0.136
0.071000,-0.0070,-0.1339,0.0097,0.134
0.083000,-0.0565,-0.1446,-0.0076,0.155
0.084000,-0.1105,-0.1337,0.0082,0.174
0.086000,-0.1596,-0.1182,0.0570,0.207
0.091000,-0.1917,-0.1194,0.1172,0.254
0.099000,-0.2284,-0.1135,0.1722,0.308
0.100000,-0.2789,-0.0982,0.2293,0.374
0.105000,-0.3170,-0.0806,0.2718,0.425
0.154000,-0.3427,-0.0585,0.3165,0.470
0.155000,-0.3490,-0.0462,0.3612,0.504
0.155000,-0.3525,-0.0316,0.3891,0.526
0.155000,-0.3604,-0.0243,0.4098,0.546
0.155000,-0.3513,-0.0218,0.4160,0.545
0.155000,-0.3253,-0.0098,0.4104,0.524
0.155000,-0.2992,-0.0336,0.4001,0.501
0.155000,-0.2708,-0.0665,0.3824,0.473
0.155000,-0.2402,-0.0659,0.3337,0.416
0.155000,-0.1911,-0.0485,0.2802,0.343
0.158000,-0.1664,-0.0263,0.2335,0.288
0.162000,-0.1876,-0.0160,0.1912,0.268
0.171000,-0.1974,-0.0031,0.1810,0.268
0.178000,-0.1361,0.0312,0.2866,0.319
0.181000,-0.1299,0.0156,0.3767,0.399
0.186000,-0.1691,-0.0023,0.4254,0.458
0.190000,-0.2033,0.0013,0.4428,0.487
0.228000,-0.2043,0.0097,0.4364,0.482
0.228000,-0.2006,0.0132,0.4111,0.458
0.228000,-0.1922,0.0048,0.3742,0.421
0.229000,-0.2029,-0.0154,0.3186,0.378
0.229000,-0.2230,-0.0306,0.2659,0.348
0.229000,-0.2240,-0.0600,0.2419,0.335
0.229000,-0.2034,-0.0890,0.2013,0.300
0.229000,-0.1807,-0.1058,0.1608,0.264
0.233000,-0.1603,-0.1225,0.1749,0.267
0.238000,-0.1399,-0.1270,0.2219,0.291
0.249000,-0.1287,-0.1219,0.2802,0.332
0.249000,-0.1078,-0.1168,0.3402,0.375
0.252000,-0.0701,-0.1070,0.3829,0.404
0.257000,-0.0370,-0.0781,0.4204,0.429
0.263000,-0.0254,-0.0708,0.4572,0.463
0.267000,-0.0043,-0.0586,0.4671,0.471
0.271000,0.0357,-0.0060,0.4167,0.418
0.282000,0.0562,0.0657,0.3131,0.325
0.283000,0.0573,0.1562,0.1919,0.254
0.285000,0.0627,0.2703,0.0649,0.285
0.298000,0.0671,0.3941,-0.0106,0.400
0.300000,0.1135,0.6151,0.0636,0.629
0.304000,0.1065,0.6686,0.1850,0.702
0.359000,0.0775,0.6985,0.3133,0.769
0.360000,0.0363,0.7143,0.4202,0.829
0.360000,0.0360,0.7209,0.5345,0.898
0.360000,0.0600,0.7065,0.6183,0.941
0.360000,0.0844,0.6736,0.6413,0.934
0.360000,0.0997,0.6176,0.6371,0.893
0.360000,0.1107,0.5697,0.6106,0.842
0.360000,0.1151,0.5251,0.5734,0.786
