time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.0980,0.0013,-0.1574,0.185
0.003000,0.0671,-0.0870,-0.4785,0.491
0.008000,0.0767,-0.0669,-0.5230,0.533
0.021000,0.1878,0.1167,-0.3451,0.410
0.021000,0.3136,0.3348,-0.0698,0.464
0.022000,0.3860,0.4643,0.2170,0.642
0.027000,0.4247,0.4829,0.3871,0.751
0.032000,0.4075,0.4261,0.4443,0.738
0.037000,0.2658,0.2763,0.4655,0.603
0.041000,0.0699,0.1119,0.3255,0.351
0.075000,-0.0743,0.0420,0.0943,0.127
0.076000,-0.1369,0.0580,-0.0633,0.162
0.076000,-0.1521,0.1140,-0.2049,0.279
0.076000,-0.1607,0.1529,-0.3900,0.449
0.076000,-0.1580,0.1634,-0.5615,0.606
0.076000,-0.1700,0.1579,-0.6958,0.733
0.076000,-0.1824,0.1203,-0.8121,0.841
0.079000,-0.2017,0.0653,-0.8942,0.919
0.085000,-0.2324,0.0436,-0.9707,0.999
0.089000,-0.2574,0.0621,-1.0465,1.080
0.093000,-0.2885,0.1066,-1.0981,1.140
0.104000,-0.3419,0.1628,-1.1230,1.185
0.105000,-0.4078,0.2259,-1.1122,1.206
0.120000,-0.4358,0.2935,-1.0612,1.184
0.120000,-0.3883,0.3749,-0.8230,0.984
0.122000,-0.3628,0.3840,-0.6319,0.824
0.126000,-0.3491,0.3852,-0.4327,0.676
0.138000,-0.3157,0.3809,-0.2469,0.553
0.138000,-0.2887,0.3404,-0.1528,0.472
0.141000,-0.3105,0.2692,-0.1211,0.428
0.185000,-0.3160,0.1821,-0.0826,0.374
0.185000,-0.3197,0.0490,-0.0492,0.327
0.185000,-0.3604,-0.1346,-0.0827,0.394
0.185000,-0.3291,-0.1760,-0.1730,0.411
0.185000,-0.2644,-0.0576,-0.1795,0.325
0.185000,-0.3000,0.0506,-0.1432,0.336
0.185000,-0.3597,0.1674,-0.1262,0.416
0.185000,-0.4127,0.2570,-0.0975,0.496
0.186000,-0.4972,0.2242,-0.0855,0.552
0.189000,-0.4831,0.1318,-0.0759,0.506
0.193000,-0.3451,0.0894,-0.0354,0.358
0.202000,-0.2687,0.1153,0.0666,0.300
0.203000,0.3907,0.5445,0.6098,0.906
0.208000,1.0871,1.0223,0.9873,1.789
0.212000,0.8974,1.0437,0.6854,1.538
0.218000,0.5319,0.9291,0.3623,1.130
0.222000,0.3133,0.8038,0.1868,0.883
0.226000,0.3125,0.7134,-0.0300,0.779
0.238000,0.6391,0.6823,-0.6675,1.149
0.241000,0.5171,0.7595,-0.5943,1.094
0.245000,-0.3313,0.6471,0.8626,1.128
0.293000,-0.6874,0.3570,1.3175,1.528
0.293000,-0.4843,0.0521,0.9688,1.084
0.293000,-0.1859,-0.2307,0.6566,0.720
0.293000,-0.0276,-0.4731,0.6916,0.838
0.293000,0.0112,-0.5919,0.8048,0.999
0.294000,-0.0381,-0.5871,0.8461,1.031
0.294000,-0.1026,-0.5114,0.8015,0.956
0.294000,-0.0134,-0.4028,0.6647,0.777
0.294000,0.0119,-0.3820,0.4599,0.598
0.294000,-0.2563,-0.4167,0.3203,0.585
0.301000,-0.5267,-0.3441,0.2311,0.670
0.302000,-0.6156,-0.2049,0.0613,0.652
0.307000,-0.5469,-0.0947,-0.1196,0.568
0.312000,-0.3914,-0.0281,-0.2378,0.459
0.317000,-0.2692,0.0064,-0.3031,0.405
0.322000,-0.2285,0.0371,-0.3514,0.421
0.326000,-0.2459,0.1155,-0.3329,0.430
0.357000,-0.2761,0.2384,-0.2741,0.456
0.357000,-0.3052,0.3505,-0.2751,0.540
0.358000,-0.3306,0.4112,-0.3091,0.612
0.358000,-0.3193,0.4114,-0.3403,0.622
0.358000,-0.3288,0.3565,-0.3996,0.628
0.361000,-0.4038,0.2512,-0.4865,0.680
0.367000,-0.5612,0.0441,-0.6177,0.836
0.369000,-0.6003,-0.0123,-0.6264,0.868
0.374000,-0.6240,-0.0212,-0.6516,0.902
0.379000,-0.6418,-0.0186,-0.6835,0.938
0.386000,-0.5404,-0.0283,-0.8004,0.966
0.388000,-0.4544,-0.0241,-0.9375,1.042
0.393000,-0.5672,-0.0018,-0.9332,1.092
0.403000,-0.7492,0.0172,-0.8315,1.119
0.403000,-0.8838,0.0145,-0.8398,1.219
0.407000,-0.8379,-0.0355,-1.0451,1.340
0.412000,-0.7699,-0.1226,-1.2509,1.474
0.419000,-0.8741,-0.2133,-1.3459,1.619
0.422000,-1.1413,-0.2859,-1.4639,1.878
0.427000,-1.3794,-0.3109,-1.7302,2.235
0.437000,-1.3843,-0.2526,-1.9818,2.431
0.437000,-1.2534,-0.1376,-2.0824,2.434
0.441000,-1.1566,-0.0138,-2.0061,2.316
0.445000,-1.2349,0.0712,-1.8253,2.205
0.494000,-1.4707,0.0993,-1.7934,2.321
0.494000,-1.5584,0.1064,-1.8029,2.385
0.494000,-1.3084,0.0947,-1.7529,2.189
0.494000,-0.9420,0.0798,-1.7271,1.969
0.494000,-0.7037,0.0826,-1.6870,1.830
0.494000,-0.6340,0.0881,-1.6301,1.751
0.494000,-0.6692,0.0931,-1.5705,1.710
0.494000,-0.7091,-0.0464,-1.6399,1.787
0.495000,-1.1950,-0.1377,-1.6565,2.047
0.501000,-1.5215,-0.3172,-1.5747,2.212
0.502000,-1.5963,-0.6996,-1.5117,2.307
0.507000,-1.7409,-1.2158,-1.4818,2.589
0.512000,-2.0701,-1.6792,-1.5135,3.065
0.517000,-2.3604,-1.9989,-1.6757,3.518
0.521000,-2.3986,-2.1555,-1.9872,3.788
0.526000,-2.4239,-2.0774,-2.3713,3.977
0.535000,-2.3864,-1.6361,-2.4621,3.799
0.536000,-1.8730,-0.9710,-2.4012,3.196
0.541000,-1.1199,-0.4356,-2.6043,2.868
0.546000,-0.5414,-0.0654,-2.9061,2.957
0.574000,-0.1585,0.2046,-3.0695,3.080
0.575000,0.0819,0.3626,-3.1425,3.164
0.575000,0.1858,0.4665,-3.1348,3.175
0.575000,0.1802,0.5172,-3.0346,3.084
0.575000,0.0784,0.4890,-2.8614,2.904
0.575000,-0.0331,0.3822,-2.6391,2.667
0.581000,-0.0690,0.1982,-2.4127,2.422
0.584000,-0.1532,-0.1520,-2.4431,2.453
0.588000,-0.3933,-0.7049,-2.6687,2.788
0.593000,-0.3844,-0.7416,-2.1439,2.301
0.598000,-0.0891,-0.3148,-1.2598,1.302
0.607000,0.1457,-0.4043,-0.8400,0.944
0.612000,-0.3915,-1.2057,-0.0693,1.270
0.616000,-1.2762,-1.4283,0.4181,1.960
0.621000,-1.7875,-1.6214,0.5582,2.477
0.626000,-1.7612,-1.8839,0.2373,2.590
0.635000,-1.3843,-2.0737,-0.1416,2.497
0.636000,-1.0256,-1.9181,-0.3799,2.208
0.641000,-0.8325,-1.4681,-0.4568,1.748
0.645000,-0.6181,-0.9139,-0.4919,1.208
0.695000,-0.3497,-0.4568,-0.5857,0.821
0.695000,-0.1051,-0.1954,-0.8137,0.843
0.695000,0.0689,-0.0700,-1.1248,1.129
0.695000,0.1952,0.0148,-1.3389,1.353
0.695000,0.3119,0.1494,-1.3938,1.436
0.695000,0.4458,0.3379,-1.3088,1.423
0.695000,0.5955,0.5419,-1.1371,1.393
0.696000,0.6953,0.7207,-0.9131,1.355
0.696000,0.7271,0.8197,-0.6924,1.296
0.696000,0.6823,0.8011,-0.5352,1.181
0.698000,0.5758,0.6942,-0.4300,0.999
0.702000,0.4731,0.5138,-0.3007,0.760
0.707000,0.3934,0.3199,-0.1191,0.521
0.711000,0.2727,0.2008,0.0545,0.343
0.716000,0.1013,0.1320,0.1817,0.246
0.721000,-0.0706,0.0374,0.2005,0.216
0.734000,-0.2111,-0.0833,0.1255,0.259
0.735000,-0.3130,-0.2962,-0.1723,0.464
0.740000,-0.3448,-0.3553,-0.3124,0.585
0.745000,-0.2880,-0.3726,-0.4355,0.641
0.785000,-0.2672,-0.3430,-0.5105,0.671
0.785000,-0.2500,-0.2905,-0.5004,0.630
0.785000,-0.0084,-0.1771,-0.4158,0.452
0.785000,0.3424,0.0280,-0.3164,0.467
0.785000,0.6728,0.3240,-0.2047,0.774
0.785000,0.9445,0.6668,-0.0375,1.157
0.785000,1.1893,0.9427,0.1961,1.530
0.786000,1.5003,1.1913,0.4385,1.965
0.788000,1.7553,1.4740,0.5891,2.367
0.793000,1.8465,1.7593,0.6316,2.627
0.797000,1.8357,1.9682,0.6022,2.758
