time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.1367,0.0773,0.1274,0.202
0.003000,0.1204,0.0349,0.1887,0.227
0.007000,0.1274,-0.0340,0.2355,0.270
0.012000,0.0957,-0.0913,0.2750,0.305
0.017000,0.0733,-0.1012,0.2978,0.323
0.021000,0.0817,-0.1018,0.2753,0.305
0.027000,0.1066,-0.0833,0.2100,0.250
0.031000,0.1220,-0.0505,0.1499,0.200
0.036000,0.1020,-0.0198,0.1306,0.167
0.040000,0.0539,-0.0056,0.1063,0.119
0.050000,-0.0083,-0.0077,0.0672,0.068
0.055000,-0.1035,0.0140,0.0183,0.106
0.062000,-0.0558,0.0165,0.0620,0.085
0.064000,-0.0132,-0.0045,0.1075,0.108
0.069000,-0.0208,-0.0324,0.1170,0.123
0.074000,-0.0331,-0.0386,0.0976,0.110
0.079000,-0.0240,-0.0328,0.0853,0.095
0.083000,-0.0365,-0.0294,0.1039,0.114
0.088000,-0.0537,-0.0191,0.1367,0.148
0.094000,-0.0519,0.0006,0.1264,0.137
0.097000,-0.0360,0.0200,0.0780,0.088
0.102000,-0.0108,0.0346,0.0560,0.067
0.107000,0.0070,0.0468,0.0840,0.096
0.113000,0.0296,0.0636,0.1023,0.124
0.117000,0.0593,0.0542,0.0828,0.115
0.121000,0.0819,0.0331,0.0516,0.102
0.127000,0.0854,0.0218,0.0257,0.092
0.131000,0.0940,0.0106,0.0240,0.098
0.136000,0.1074,0.0067,0.0367,0.114
0.140000,0.1113,0.0123,0.0304,0.116
0.145000,0.0938,0.0132,0.0053,0.095
0.150000,0.0669,0.0091,-0.0172,0.070
0.154000,0.0544,0.0097,-0.0442,0.071
0.162000,0.0563,0.0126,-0.0590,0.082
0.170000,0.0652,0.0156,-0.0738,0.100
0.174000,0.0766,0.0234,-0.1217,0.146
0.179000,0.0902,0.0170,-0.1290,0.158
0.183000,0.0990,0.0248,-0.1243,0.161
0.189000,0.0864,0.0279,-0.1124,0.145
0.193000,0.0715,0.0307,-0.1124,0.137
0.198000,0.0614,0.0097,-0.1146,0.130
0.202000,0.0608,-0.0185,-0.1143,0.131
0.207000,0.0650,-0.0252,-0.1137,0.133
0.212000,0.0573,-0.0155,-0.1105,0.125
0.216000,0.0615,0.0012,-0.1048,0.122
0.221000,0.0538,0.0081,-0.1133,0.126
0.226000,0.0389,0.0291,-0.1217,0.131
0.231000,0.0360,0.0594,-0.1348,0.152
0.236000,0.0260,0.0704,-0.1500,0.168
0.240000,0.0470,0.0718,-0.1390,0.163
0.246000,0.0680,0.0851,-0.1160,0.159
0.250000,0.0748,0.0889,-0.0999,0.153
0.254000,0.0842,0.0878,-0.0980,0.156
0.268000,0.0866,0.0962,-0.1100,0.170
0.268000,0.0771,0.0975,-0.1267,0.177
0.268000,0.0678,0.0892,-0.1312,0.173
0.273000,0.0586,0.0715,-0.1285,0.158
0.278000,0.0399,0.0610,-0.1115,0.133
0.289000,0.0093,0.0432,-0.0922,0.102
0.293000,-0.0425,0.0444,-0.1039,0.121
0.297000,-0.0704,0.0644,-0.1324,0.163
0.302000,-0.0698,0.0747,-0.1465,0.179
0.307000,-0.0646,0.0683,-0.1653,0.190
0.311000,-0.0547,0.0642,-0.1816,0.200
0.316000,-0.0258,0.0508,-0.1882,0.197
0.321000,0.0101,0.0350,-0.1755,0.179
0.326000,0.0603,0.0099,-0.1839,0.194
0.331000,0.1056,-0.0197,-0.1989,0.226
0.335000,0.1225,-0.0444,-0.1776,0.220
0.340000,0.1371,-0.0690,-0.1559,0.219
0.345000,0.1519,-0.0935,-0.1623,0.241
0.350000,0.1453,-0.1181,-0.1658,0.250
0.354000,0.1390,-0.1261,-0.1686,0.252
0.359000,0.1326,-0.1179,-0.1756,0.250
0.364000,0.1311,-0.1005,-0.1892,0.251
0.368000,0.1393,-0.0908,-0.2043,0.263
0.373000,0.1666,-0.0838,-0.2162,0.286
0.385000,0.2179,-0.0722,-0.2367,0.330
0.385000,0.2694,-0.0797,-0.2299,0.363
0.388000,0.3189,-0.0968,-0.2006,0.389
0.392000,0.3571,-0.1112,-0.1822,0.416
0.397000,0.3744,-0.1257,-0.1768,0.433
0.407000,0.3953,-0.1401,-0.1717,0.453
0.412000,0.3641,-0.1548,-0.2060,0.446
0.417000,0.3261,-0.1579,-0.2107,0.419
0.421000,0.2785,-0.1666,-0.2099,0.387
0.426000,0.2380,-0.1571,-0.2084,0.353
0.431000,0.2210,-0.1488,-0.2154,0.343
0.435000,0.2418,-0.1487,-0.2332,0.367
0.441000,0.3050,-0.1304,-0.2735,0.430
0.445000,0.4036,-0.1056,-0.3193,0.525
0.449000,0.4946,-0.0810,-0.3473,0.610
0.454000,0.5448,-0.0709,-0.3839,0.670
0.459000,0.5234,-0.0727,-0.3987,0.662
0.468000,0.4472,-0.0699,-0.3897,0.597
0.468000,0.3566,-0.0675,-0.4002,0.540
0.473000,0.2584,-0.0703,-0.4353,0.511
0.504000,0.1881,-0.0856,-0.4687,0.512
0.504000,0.1499,-0.0992,-0.4888,0.521
0.505000,0.1225,-0.0849,-0.4954,0.517
0.505000,0.1201,-0.0833,-0.4957,0.517
0.506000,0.1523,-0.0942,-0.4964,0.528
0.506000,0.2097,-0.0983,-0.5019,0.553
0.506000,0.2926,-0.0885,-0.5023,0.588
0.512000,0.3892,-0.0624,-0.4947,0.632
0.518000,0.4831,-0.0462,-0.4880,0.688
0.526000,0.5809,-0.0469,-0.4631,0.744
0.536000,0.7456,-0.0383,-0.3929,0.844
0.536000,0.8250,-0.0156,-0.3560,0.899
0.539000,0.8885,0.0257,-0.3306,0.948
0.556000,0.9074,0.0665,-0.3006,0.958
0.557000,0.8625,0.0687,-0.2810,0.910
0.558000,0.7369,0.0444,-0.2776,0.789
0.559000,0.5589,0.0432,-0.2718,0.623
0.572000,0.4022,0.0695,-0.2974,0.505
0.573000,0.2995,0.0853,-0.3404,0.461
0.574000,0.2267,0.1073,-0.3534,0.433
0.589000,0.1743,0.1427,-0.3460,0.413
0.590000,0.1732,0.1630,-0.3612,0.432
0.590000,0.2043,0.1782,-0.4125,0.494
0.592000,0.2584,0.1885,-0.4424,0.546
0.635000,0.3285,0.1894,-0.4484,0.587
0.636000,0.3958,0.1691,-0.4514,0.624
0.636000,0.4560,0.1279,-0.4512,0.654
0.636000,0.4975,0.0709,-0.4166,0.653
0.637000,0.5109,0.0123,-0.3498,0.619
0.637000,0.5061,-0.0099,-0.2892,0.583
0.638000,0.5020,-0.0244,-0.2634,0.567
0.638000,0.4630,-0.0666,-0.2918,0.551
0.638000,0.3868,-0.1152,-0.3195,0.515
0.649000,0.3264,-0.1290,-0.2826,0.451
0.650000,0.1737,0.0068,-0.1222,0.213
0.654000,0.0282,0.0457,0.0442,0.069
0.659000,-0.1658,0.0471,0.1805,0.250
0.665000,-0.3848,0.0726,0.2417,0.460
0.668000,-0.5436,0.1479,0.2256,0.607
0.672000,-0.5712,0.2159,0.1539,0.630
0.686000,-0.4941,0.2679,0.0861,0.569
0.687000,-0.3647,0.3450,0.0745,0.508
0.687000,-0.2197,0.4272,0.1146,0.494
0.692000,-0.0962,0.4861,0.1941,0.532
0.712000,-0.0203,0.5318,0.2697,0.597
0.713000,-0.0133,0.5477,0.2885,0.619
0.713000,-0.1041,0.5359,0.2932,0.620
0.713000,-0.2642,0.5105,0.3368,0.666
0.715000,-0.4175,0.4854,0.4071,0.759
0.720000,-0.5358,0.4677,0.4779,0.857
0.725000,-0.6239,0.4568,0.5374,0.942
0.730000,-0.6843,0.4649,0.5763,1.008
0.735000,-0.7095,0.4657,0.6237,1.053
0.740000,-0.6753,0.4761,0.6634,1.060
0.745000,-0.5789,0.4964,0.6643,1.011
0.749000,-0.4629,0.5053,0.6628,0.953
0.754000,-0.3532,0.5031,0.6807,0.917
0.767000,-0.2553,0.5148,0.7142,0.917
0.768000,-0.1132,0.5511,0.7200,0.914
0.773000,-0.1112,0.5404,0.7074,0.897
0.794000,-0.1539,0.5231,0.7000,0.887
0.796000,-0.2153,0.4822,0.6952,0.873
0.796000,-0.2767,0.4222,0.7170,0.877
0.797000,-0.3481,0.3548,0.7655,0.913
0.799000,-0.4079,0.2871,0.8192,0.959
0.803000,-0.4373,0.2286,0.8782,1.007
0.806000,-0.4458,0.1791,0.9307,1.047
0.811000,-0.4571,0.1151,0.9960,1.102
0.815000,-0.4638,0.0628,1.0454,1.145
0.820000,-0.4536,0.0322,1.0429,1.138
0.826000,-0.4335,-0.0101,1.0269,1.115
0.830000,-0.4128,-0.0519,1.0191,1.101
