time,ax,ay,az
2019-11-21 14:9:14.5380,-0.52,0.31,0.1
2019-11-21 14:9:14.6380,-0.13,0.05,-0.1
2019-11-21 14:9:14.7380,0.06,-0.07,0.01
2019-11-21 14:9:14.8380,0.34,0.19,-0.01
2019-11-21 14:9:14.9380,1.26,0.67,-0.31
2019-11-21 14:9:15.0380,1.33,0.33,-0.52
2019-11-21 14:9:15.1380,1.4,-0.46,-0.42
2019-11-21 14:9:15.2380,0.54,-0.19,-0.24
2019-11-21 14:9:15.3380,-0.5,1.13,0.29
2019-11-21 14:9:15.4380,-2.28,0.32,0.53
2019-11-21 14:9:15.5380,0.33,-0.45,-0.21
2019-11-21 14:9:15.6380,0.33,0.09,0.01
2019-11-21 14:9:15.7390,0.01,-0.02,-0.11
2019-11-21 14:9:15.8390,0.04,-0.01,-0.06
2019-11-21 14:9:15.9390,0.43,0.39,0.08
2019-11-21 14:9:16.0380,1.82,1.44,-0.26
2019-11-21 14:9:16.1390,-0.34,0.29,-0.32
2019-11-21 14:9:16.2390,0.52,-0.32,-0.23
2019-11-21 14:9:16.3390,0.12,0.34,-0.16
2019-11-21 14:9:16.4380,-0.97,1.3,0.22
2019-11-21 14:9:16.5390,-1.58,0.92,0.55
2019-11-21 14:9:16.6390,-1.36,-0.05,-0.04
2019-11-21 14:9:16.7390,-0.23,-0.01,-0.17
2019-11-21 14:9:16.8390,0.1,0.14,0.02
2019-11-21 14:9:16.9390,0.29,0.01,-0.06
2019-11-21 14:9:17.0390,0.77,0.58,-0.15
2019-11-21 14:9:17.1390,1.69,0.67,-0.31
2019-11-21 14:9:17.2390,0.72,-0.7,-0.29
2019-11-21 14:9:17.3390,0.07,-0.39,-0.09
2019-11-21 14:9:17.4390,-0.29,0.5,-0.04
2019-11-21 14:9:17.5390,-2.02,0.91,0.14
2019-11-21 14:9:17.6400,0.64,1.33,1.07
2019-11-21 14:9:17.7390,-0.62,0.19,-0.16
2019-11-21 14:9:17.8400,-0.17,0.01,-0.1
2019-11-21 14:9:17.9400,0.03,-0.04,-0.01
2019-11-21 14:9:18.0400,0.23,0.12,0.02
2019-11-21 14:9:18.1400,0.8,0.58,-0.25
2019-11-21 14:9:18.2400,1.86,0.29,-0.54
2019-11-21 14:9:18.3400,0.98,-0.83,-0.37
2019-11-21 14:9:18.4400,0.18,-0.25,-0.11
2019-11-21 14:9:18.5400,-0.42,0.67,0.21
2019-11-21 14:9:18.6400,-1.86,0.67,0.41
2019-11-21 14:9:18.7400,0.89,0.59,0.84
2019-11-21 14:9:18.8400,-0.68,0.06,-0.23
2019-11-21 14:9:18.9400,-0.13,-0.01,-0.15
2019-11-21 14:9:19.0400,0.08,0.11,-0.01
2019-11-21 14:9:19.1400,0.27,0.22,0.03
2019-11-21 14:9:19.2410,1.11,0.68,-0.27
2019-11-21 14:9:19.3400,1.65,-0.03,-0.62
2019-11-21 14:9:19.4400,1.41,-0.61,-0.51
2019-11-21 14:9:19.5410,0.41,0.08,-0.22
2019-11-21 14:9:19.6400,-0.6,0.71,0.26
2019-11-21 14:9:19.7400,-2.23,0.34,0.74
2019-11-21 14:9:19.8410,0.95,0.14,-0.07
2019-11-21 14:9:19.9410,0.3,-0.26,0.01
2019-11-21 14:9:20.0400,0.1,0.06,-0.03
2019-11-21 14:9:20.1410,0.01,0.06,0.02
2019-11-21 14:9:20.2410,0.42,0.37,-0.11
2019-11-21 14:9:20.3410,1.86,1.44,-0.4
2019-11-21 14:9:20.4410,-0.49,0.2,-0.2
2019-11-21 14:9:20.5410,0.77,-0.19,-0.36
2019-11-21 14:9:20.6410,0.11,0.34,0.05
2019-11-21 14:9:20.7410,-1.03,1.0,0.33
2019-11-21 14:9:20.8410,-1.77,0.62,0.23
2019-11-21 14:9:20.9410,-1.17,-0.65,0.3
2019-11-21 14:9:21.0410,-0.29,0.07,-0.24
2019-11-21 14:9:21.1410,0.13,0.11,-0.06
2019-11-21 14:9:21.2410,0.16,-0.04,-0.03
2019-11-21 14:9:21.3410,0.51,0.4,0.08
2019-11-21 14:9:21.4410,1.19,1.47,-0.26
2019-11-21 14:9:21.5410,-0.06,-0.36,-0.15
2019-11-21 14:9:21.6410,0.31,-0.42,-0.21
