time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,0.3016,0.1333,0.4733,0.577
0.006000,0.3286,0.1222,0.6084,0.702
0.010000,0.3274,0.1128,0.6331,0.722
0.019000,0.3124,0.1266,0.6009,0.689
0.020000,0.2791,0.1422,0.5362,0.621
0.025000,0.2061,0.1455,0.4373,0.505
0.037000,0.1223,0.1605,0.3238,0.382
0.037000,0.0252,0.1706,0.2034,0.267
0.039000,-0.0828,0.1665,0.1121,0.217
0.044000,-0.1447,0.1766,0.0855,0.244
0.055000,-0.1468,0.2150,0.1398,0.295
0.055000,-0.0917,0.2648,0.2406,0.369
0.058000,-0.0129,0.2788,0.3254,0.429
0.070000,0.0685,0.2597,0.3842,0.469
0.070000,0.1597,0.2603,0.4405,0.536
0.072000,0.2443,0.2876,0.4774,0.609
0.077000,0.3153,0.3605,0.5068,0.697
0.132000,0.4250,0.5137,0.5639,0.873
0.132000,0.6065,0.7299,0.6552,1.153
0.132000,0.8071,0.9087,0.7421,1.424
0.132000,0.9747,0.9886,0.8098,1.607
0.132000,1.0980,1.0062,0.8792,1.729
0.132000,1.2027,1.0328,0.9415,1.844
0.133000,1.5115,1.1516,0.9468,2.123
0.133000,1.6396,1.1293,0.7861,2.140
0.133000,1.6548,1.0146,0.5446,2.016
0.133000,1.6024,0.8883,0.2831,1.854
0.135000,1.4607,0.7937,0.0872,1.665
0.139000,1.2895,0.7117,-0.0163,1.473
0.143000,1.1723,0.6280,-0.0771,1.332
0.152000,1.0922,0.5451,-0.1211,1.227
0.153000,1.0319,0.4749,-0.1670,1.148
0.158000,1.0128,0.4648,-0.1691,1.127
0.169000,1.0347,0.5239,-0.1015,1.164
0.169000,1.0474,0.5804,-0.0336,1.198
0.172000,1.0080,0.6465,0.0371,1.198
0.177000,0.9145,0.7297,0.1937,1.186
0.231000,0.7989,0.7775,0.4780,1.213
0.231000,0.7577,0.7973,0.8289,1.377
0.231000,0.8606,0.7987,1.0998,1.609
0.231000,1.0526,0.7576,1.2572,1.806
0.232000,1.2426,0.6809,1.3205,1.937
0.232000,1.3345,0.5658,1.2904,1.941
0.232000,1.3375,0.4505,1.1868,1.844
0.232000,1.2725,0.3756,0.9992,1.661
0.232000,1.1627,0.3123,0.7050,1.395
0.232000,1.0049,0.2535,0.3939,1.109
0.235000,0.8345,0.2065,0.1505,0.873
0.239000,0.6254,0.2062,-0.2421,0.702
0.243000,0.5523,0.1973,-0.4722,0.753
0.252000,0.4352,0.1558,-0.6664,0.811
0.253000,0.3148,0.1345,-0.7843,0.856
0.258000,0.2386,0.1572,-0.8641,0.910
0.269000,0.1664,0.1599,-0.9276,0.956
0.269000,0.0937,0.1546,-0.9276,0.945
0.272000,0.0570,0.2228,-0.8196,0.851
0.277000,0.0451,0.2997,-0.6215,0.691
0.331000,0.0730,0.2947,-0.4298,0.526
0.331000,0.1245,0.2535,-0.2738,0.393
0.331000,0.1093,0.2051,-0.1706,0.288
0.332000,0.0086,0.1644,-0.1559,0.227
0.332000,-0.1033,0.1769,-0.1773,0.271
0.332000,-0.1544,0.2424,-0.1678,0.333
0.332000,-0.1232,0.3201,-0.1613,0.379
0.332000,-0.0673,0.3620,-0.2436,0.442
0.332000,-0.0610,0.3542,-0.3952,0.534
0.332000,-0.0927,0.3323,-0.5606,0.658
0.332000,-0.1175,0.3298,-0.7274,0.807
0.335000,-0.1239,0.3632,-0.8689,0.950
0.338000,-0.1149,0.4057,-0.9800,1.067
0.343000,-0.0981,0.4260,-1.1084,1.191
0.354000,-0.1121,0.4171,-1.2654,1.337
0.358000,-0.1658,0.3831,-1.3830,1.445
0.369000,-0.1598,0.3979,-1.4699,1.531
0.369000,-0.1547,0.3927,-1.5131,1.571
0.372000,-0.2315,0.3392,-1.5175,1.572
0.376000,-0.3157,0.2639,-1.4882,1.544
0.431000,-0.3616,0.2053,-1.4565,1.515
