time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,-0.0960,0.0294,0.2064,0.230
0.003000,-0.1156,-0.0167,0.2009,0.232
0.008000,-0.1064,-0.0291,0.1884,0.218
0.023000,-0.0690,-0.0344,0.1001,0.126
0.023000,-0.0392,-0.0918,0.0957,0.138
0.023000,-0.0121,-0.1559,0.2313,0.279
0.027000,0.0172,-0.1720,0.3042,0.350
0.032000,0.0151,-0.1500,0.2959,0.332
0.041000,-0.0326,-0.1164,0.2668,0.293
0.046000,-0.2133,-0.0808,0.1886,0.296
0.051000,-0.2980,-0.0574,0.1448,0.336
0.055000,-0.3374,-0.0367,0.1088,0.356
0.060000,-0.3247,-0.0423,0.0924,0.340
0.065000,-0.2482,-0.0597,0.1261,0.285
0.069000,-0.1344,-0.0723,0.2023,0.253
0.074000,-0.0525,-0.0990,0.2329,0.258
0.079000,-0.0310,-0.1254,0.2087,0.245
0.084000,-0.0528,-0.1351,0.1445,0.205
0.088000,-0.1034,-0.1423,0.0739,0.191
0.095000,-0.1968,-0.1351,-0.0175,0.239
0.098000,-0.3209,-0.0971,-0.1390,0.363
0.103000,-0.4210,-0.0286,-0.2262,0.479
0.108000,-0.4497,0.0371,-0.2201,0.502
0.123000,-0.4121,0.0786,-0.1547,0.447
0.123000,-0.3397,0.0770,-0.0709,0.355
0.123000,-0.2564,0.0232,0.0338,0.260
0.128000,-0.1813,-0.0539,0.0902,0.210
0.132000,-0.1332,-0.1090,0.1107,0.205
0.136000,-0.1191,-0.1327,0.1000,0.204
0.141000,-0.1482,-0.1610,0.1014,0.241
0.145000,-0.1963,-0.2103,0.1669,0.333
0.150000,-0.2372,-0.2331,0.1891,0.383
0.155000,-0.2638,-0.1986,0.1112,0.348
0.165000,-0.2642,-0.1238,0.0211,0.293
0.169000,-0.1845,-0.0235,0.0173,0.187
0.174000,-0.1676,-0.0213,0.0872,0.190
0.179000,-0.1676,-0.0216,0.1663,0.237
0.184000,-0.1798,-0.0124,0.2118,0.278
0.188000,-0.1709,-0.0080,0.2027,0.265
0.193000,-0.1719,-0.0013,0.1776,0.247
0.198000,-0.1923,0.0266,0.1339,0.236
0.203000,-0.2296,0.0638,0.0884,0.254
0.208000,-0.2741,0.0865,0.0580,0.293
0.224000,-0.3067,0.0686,0.0542,0.319
0.225000,-0.3466,0.0152,0.0509,0.351
0.225000,-0.3797,-0.0520,0.0434,0.386
0.228000,-0.3702,-0.0878,0.0337,0.382
0.231000,-0.3186,-0.0828,0.0598,0.335
0.236000,-0.2751,-0.0991,0.1091,0.312
0.241000,-0.2347,-0.1271,0.1555,0.309
0.246000,-0.1713,-0.1404,0.1991,0.298
0.250000,-0.1253,-0.1655,0.2403,0.318
0.255000,-0.1180,-0.1810,0.2744,0.349
0.260000,-0.1372,-0.1678,0.3039,0.373
0.265000,-0.1803,-0.1642,0.3359,0.415
0.269000,-0.2187,-0.1607,0.3446,0.439
0.274000,-0.2311,-0.1239,0.3132,0.408
0.280000,-0.2296,-0.0804,0.2660,0.360
0.288000,-0.2279,-0.0516,0.2316,0.329
0.294000,-0.2346,-0.0538,0.1537,0.286
0.298000,-0.2394,-0.0632,0.1266,0.278
0.303000,-0.2328,-0.0605,0.1191,0.268
