time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.2273,-0.0319,-0.0854,0.245
0.003000,0.1540,-0.0363,-0.0702,0.173
0.006000,0.1193,-0.0241,-0.1191,0.170
0.011000,0.0114,-0.0833,-0.7663,0.771
0.022000,-0.2221,-0.0895,-0.4480,0.508
0.026000,0.1568,-0.0198,0.5278,0.551
0.030000,0.3859,0.0587,0.1344,0.413
0.035000,0.3926,0.0937,0.1192,0.421
0.040000,0.2210,0.0193,0.1873,0.290
0.046000,0.0746,-0.0568,0.0936,0.132
0.050000,0.0243,-0.0564,-0.0231,0.066
0.054000,0.0196,-0.0156,-0.0486,0.055
0.069000,0.0054,0.0154,0.0306,0.035
0.069000,-0.0086,0.0224,0.0997,0.103
0.069000,-0.0059,0.0174,0.0947,0.096
0.073000,0.0063,0.0030,0.0613,0.062
0.078000,0.0136,-0.0065,0.0305,0.034
0.084000,-0.0006,-0.0160,-0.0215,0.027
0.087000,-0.0075,-0.0206,-0.0780,0.081
0.093000,-0.0001,-0.0062,-0.0983,0.098
0.097000,0.0143,0.0081,-0.0567,0.059
0.102000,0.0286,0.0104,0.0060,0.031
0.106000,0.0334,0.0079,0.0444,0.056
0.111000,0.0286,0.0031,0.0421,0.051
0.116000,0.0310,-0.0041,0.0136,0.034
0.121000,0.0310,-0.0088,-0.0028,0.032
0.126000,0.0167,-0.0088,-0.0072,0.020
0.130000,-0.0094,-0.0040,-0.0068,0.012
0.140000,-0.0330,0.0079,-0.0135,0.037
0.151000,-0.0755,0.0221,-0.0773,0.110
0.152000,-0.0583,0.0172,-0.0836,0.103
0.154000,-0.0081,-0.0209,-0.0185,0.029
0.158000,0.0465,-0.0587,0.0414,0.086
0.164000,0.0889,-0.0392,0.0508,0.110
0.169000,0.0692,0.0134,0.0102,0.071
0.173000,-0.0002,0.0299,-0.0231,0.038
0.182000,-0.0431,0.0178,-0.0204,0.051
0.184000,-0.0333,0.0034,-0.0082,0.034
0.187000,-0.0119,-0.0061,0.0040,0.014
0.193000,-0.0001,-0.0131,0.0350,0.037
0.197000,0.0210,-0.0058,0.0539,0.058
0.202000,0.0396,0.0156,0.0324,0.054
0.206000,0.0415,0.0274,0.0062,0.050
0.212000,0.0410,0.0177,-0.0127,0.046
0.216000,0.0358,0.0057,-0.0267,0.045
0.221000,0.0187,0.0010,-0.0073,0.020
0.226000,-0.0030,-0.0085,0.0142,0.017
0.230000,-0.0150,-0.0108,0.0214,0.028
0.235000,-0.0246,0.0060,0.0310,0.040
0.240000,-0.0246,0.0131,0.0309,0.042
0.252000,-0.0318,0.0178,0.0214,0.042
0.252000,-0.0415,0.0106,0.0167,0.046
0.258000,-0.0273,-0.0060,0.0098,0.030
0.264000,0.0106,-0.0035,0.0669,0.068
0.268000,0.0148,-0.0177,0.0762,0.080
0.273000,0.0167,-0.0341,0.0783,0.087
0.284000,0.0139,-0.0218,0.0639,0.069
0.284000,0.0182,-0.0026,0.0496,0.053
0.287000,0.0273,-0.0025,0.0449,0.053
0.292000,0.0483,0.0023,0.0262,0.055
0.300000,0.0620,0.0047,0.0171,0.064
0.302000,0.0780,0.0047,0.0128,0.079
0.306000,0.0917,0.0094,0.0085,0.093
0.311000,0.0934,0.0189,0.0020,0.095
0.316000,0.0904,0.0163,0.0098,0.092
0.321000,0.0780,0.0043,0.0152,0.080
0.325000,0.0658,-0.0076,0.0111,0.067
0.330000,0.0632,-0.0194,0.0117,0.067
0.335000,0.0584,-0.0288,0.0218,0.069
0.340000,0.0632,-0.0215,0.0413,0.078
