time,ax,ay,az
2019-11-21 14:4:24.8870,0.0,-0.01,-0.01
2019-11-21 14:4:24.9870,0.03,-0.02,0.01
2019-11-21 14:4:25.0870,0.01,-0.03,0.03
2019-11-21 14:4:25.1870,0.03,-0.05,0.02
2019-11-21 14:4:25.2870,0.03,-0.05,-0.01
2019-11-21 14:4:25.3870,0.05,-0.06,-0.0
2019-11-21 14:4:25.4870,0.04,-0.02,-0.04
2019-11-21 14:4:25.5870,-0.04,0.01,-0.04
2019-11-21 14:4:25.6880,-0.03,-0.03,0.02
2019-11-21 14:4:25.7880,-0.05,-0.1,0.08
2019-11-21 14:4:25.8880,-0.05,-0.18,0.22
2019-11-21 14:4:25.9880,0.12,-0.01,0.43
2019-11-21 14:4:26.0880,-0.29,-0.02,0.46
2019-11-21 14:4:26.1880,-0.23,0.49,0.44
2019-11-21 14:4:26.2880,0.41,0.81,-0.32
2019-11-21 14:4:26.3880,0.69,0.39,-0.4
2019-11-21 14:4:26.4880,0.9,-0.27,-0.36
2019-11-21 14:4:26.5880,0.45,-0.52,0.08
2019-11-21 14:4:26.6880,0.23,-0.51,0.12
2019-11-21 14:4:26.7880,0.64,-0.48,0.17
2019-11-21 14:4:26.8880,0.64,-0.15,0.15
2019-11-21 14:4:26.9880,0.39,0.29,-0.19
2019-11-21 14:4:27.0880,0.21,0.34,-0.31
2019-11-21 14:4:27.1880,-0.19,0.3,-0.16
2019-11-21 14:4:27.2880,-0.48,0.36,-0.04
2019-11-21 14:4:27.3880,-0.46,0.44,-0.11
2019-11-21 14:4:27.4880,-0.15,0.66,-0.23
2019-11-21 14:4:27.5890,0.45,0.61,-0.19
2019-11-21 14:4:27.6890,0.68,-0.08,-0.17
2019-11-21 14:4:27.7890,0.31,-0.69,0.31
2019-11-21 14:4:27.8890,0.06,-0.43,0.18
2019-11-21 14:4:27.9890,0.2,-0.13,0.18
2019-11-21 14:4:28.0890,0.35,0.03,0.03
2019-11-21 14:4:28.1890,0.2,0.3,-0.14
2019-11-21 14:4:28.2890,0.16,0.27,-0.25
2019-11-21 14:4:28.3890,-0.4,-0.01,-0.12
2019-11-21 14:4:28.4890,-0.55,0.18,0.1
2019-11-21 14:4:28.5890,-0.23,0.59,-0.12
2019-11-21 14:4:28.6890,0.37,0.6,-0.19
2019-11-21 14:4:28.7890,0.41,0.04,-0.08
2019-11-21 14:4:28.8890,0.05,-0.35,0.05
2019-11-21 14:4:28.9890,-0.04,-0.42,0.14
2019-11-21 14:4:29.0890,0.04,-0.27,0.19
2019-11-21 14:4:29.1890,0.47,0.04,0.15
2019-11-21 14:4:29.2900,0.52,-0.04,-0.06
2019-11-21 14:4:29.3890,0.15,0.11,-0.3
2019-11-21 14:4:29.4900,-0.32,0.01,-0.19
2019-11-21 14:4:29.5890,-0.48,0.18,0.09
2019-11-21 14:4:29.6900,-0.18,0.58,-0.09
2019-11-21 14:4:29.7900,0.02,0.63,-0.11
2019-11-21 14:4:29.8900,0.21,0.26,-0.02
2019-11-21 14:4:29.9900,0.08,-0.29,-0.1
2019-11-21 14:4:30.0900,0.02,-0.32,0.03
2019-11-21 14:4:30.1900,0.25,-0.22,0.13
2019-11-21 14:4:30.2900,0.68,-0.06,0.03
2019-11-21 14:4:30.3900,0.48,0.03,-0.26
2019-11-21 14:4:30.4900,-0.06,-0.21,-0.41
2019-11-21 14:4:30.5900,-0.2,-0.11,-0.11
2019-11-21 14:4:30.6900,-0.25,-0.03,-0.17
2019-11-21 14:4:30.7910,-0.06,0.44,-0.28
2019-11-21 14:4:30.8900,-0.12,0.31,-0.43
2019-11-21 14:4:30.9900,0.01,0.17,0.05
2019-11-21 14:4:31.0900,-0.14,-0.2,-0.02
2019-11-21 14:4:31.1910,-0.2,-0.17,-0.02
2019-11-21 14:4:31.2900,0.28,-0.05,0.21
2019-11-21 14:4:31.3910,0.95,0.06,0.41
2019-11-21 14:4:31.4910,0.71,0.05,-0.17
2019-11-21 14:4:31.5910,0.04,-0.04,-0.44
2019-11-21 14:4:31.6910,-0.27,0.2,-0.1
2019-11-21 14:4:31.7910,-0.41,0.4,0.0
2019-11-21 14:4:31.8910,-0.41,0.69,-0.16
2019-11-21 14:4:31.9910,-0.07,0.38,-0.05
2019-11-21 14:4:32.0910,0.17,0.15,-0.11
2019-11-21 14:4:32.1910,-0.02,-0.33,0.02
2019-11-21 14:4:32.2910,0.05,-0.34,-0.03
2019-11-21 14:4:32.3910,0.47,-0.1,0.13
2019-11-21 14:4:32.4910,0.57,0.18,-0.02
2019-11-21 14:4:32.5910,0.38,0.12,-0.12
2019-11-21 14:4:32.6910,-0.19,-0.15,-0.19
2019-11-21 14:4:32.7910,-0.42,0.1,0.13
2019-11-21 14:4:32.8910,-0.29,0.4,-0.02
2019-11-21 14:4:32.9910,-0.03,0.45,-0.35
2019-11-21 14:4:33.0920,0.14,0.22,-0.13
2019-11-21 14:4:33.1920,0.08,-0.15,-0.07
2019-11-21 14:4:33.2920,-0.08,-0.46,0.16
2019-11-21 14:4:33.3920,0.06,-0.29,0.04
2019-11-21 14:4:33.4920,0.52,0.05,0.05
2019-11-21 14:4:33.5920,0.39,0.17,-0.05
2019-11-21 14:4:33.6920,0.38,0.11,-0.17
2019-11-21 14:4:33.7920,-0.21,-0.03,-0.24
2019-11-21 14:4:33.8920,-0.33,0.1,0.02
2019-11-21 14:4:33.9920,-0.33,0.4,0.0
2019-11-21 14:4:34.0920,-0.13,0.57,-0.24
2019-11-21 14:4:34.1920,0.26,0.2,-0.16
2019-11-21 14:4:34.2920,0.08,-0.17,-0.05
2019-11-21 14:4:34.3920,0.0,-0.43,0.05
2019-11-21 14:4:34.4920,0.18,-0.45,0.07
2019-11-21 14:4:34.5920,0.6,-0.06,0.04
2019-11-21 14:4:34.6930,0.48,0.03,-0.12
2019-11-21 14:4:34.7930,0.04,0.24,-0.23
2019-11-21 14:4:34.8930,-0.3,-0.06,-0.06
2019-11-21 14:4:34.9920,-0.42,0.14,-0.04
2019-11-21 14:4:35.0930,-0.22,0.48,-0.09
2019-11-21 14:4:35.1930,-0.02,0.62,-0.29
2019-11-21 14:4:35.2930,0.29,0.17,-0.29
2019-11-21 14:4:35.3930,0.18,-0.27,-0.02
2019-11-21 14:4:35.4930,0.07,-0.41,0.24
2019-11-21 14:4:35.5930,-0.04,-0.31,0.15
2019-11-21 14:4:35.6930,0.4,0.04,0.12
2019-11-21 14:4:35.7930,0.52,-0.11,-0.08
2019-11-21 14:4:35.8930,0.01,0.13,-0.22
2019-11-21 14:4:35.9930,-0.2,-0.19,-0.03
2019-11-21 14:4:36.0930,-0.29,0.02,-0.06
2019-11-21 14:4:36.1930,-0.26,0.51,-0.16
2019-11-21 14:4:36.2930,-0.01,0.64,-0.24
2019-11-21 14:4:36.3930,0.16,0.26,-0.01
2019-11-21 14:4:36.4930,0.05,-0.24,-0.07
