time,ax,ay,az
2019-11-21 14:5:57.8370,0.28,-0.35,0.3
2019-11-21 14:5:57.9370,0.5,0.15,-0.11
2019-11-21 14:5:58.0370,0.22,0.11,-0.07
2019-11-21 14:5:58.1370,-0.02,0.2,-0.31
2019-11-21 14:5:58.2370,-0.14,-0.22,-0.05
2019-11-21 14:5:58.3370,-0.39,0.06,0.0
2019-11-21 14:5:58.4370,-0.21,0.54,-0.13
2019-11-21 14:5:58.5370,-0.05,0.59,-0.15
2019-11-21 14:5:58.6370,0.15,0.25,-0.12
2019-11-21 14:5:58.7370,-0.05,-0.25,0.08
2019-11-21 14:5:58.8370,-0.01,-0.38,0.24
2019-11-21 14:5:58.9370,0.24,-0.18,0.13
2019-11-21 14:5:59.0370,0.5,0.02,-0.01
2019-11-21 14:5:59.1370,0.3,0.13,0.03
2019-11-21 14:5:59.2380,0.16,0.12,-0.23
2019-11-21 14:5:59.3370,-0.27,-0.12,-0.05
2019-11-21 14:5:59.4370,-0.46,0.05,0.14
2019-11-21 14:5:59.5370,-0.18,0.55,-0.16
2019-11-21 14:5:59.6380,-0.03,0.48,-0.19
2019-11-21 14:5:59.7370,0.09,0.37,-0.23
2019-11-21 14:5:59.8380,0.03,-0.42,0.04
2019-11-21 14:5:59.9380,-0.05,-0.27,0.05
2019-11-21 14:6:00.0380,0.17,-0.09,0.21
2019-11-21 14:6:00.1380,0.7,0.1,0.1
2019-11-21 14:6:00.2380,0.45,0.07,-0.12
2019-11-21 14:6:00.3380,-0.08,-0.1,-0.31
2019-11-21 14:6:00.4380,-0.27,-0.19,0.05
2019-11-21 14:6:00.5380,-0.27,0.06,0.17
2019-11-21 14:6:00.6380,-0.15,0.66,-0.34
2019-11-21 14:6:00.7380,-0.05,0.24,-0.58
2019-11-21 14:6:00.8380,0.14,-0.09,-0.08
2019-11-21 14:6:00.9380,-0.2,-0.35,0.05
2019-11-21 14:6:01.0380,-0.1,-0.27,0.11
2019-11-21 14:6:01.1380,0.3,0.16,0.18
2019-11-21 14:6:01.2380,0.72,0.21,0.21
2019-11-21 14:6:01.3380,0.45,0.12,-0.06
2019-11-21 14:6:01.4380,-0.05,-0.25,-0.31
2019-11-21 14:6:01.5380,-0.39,0.01,0.04
2019-11-21 14:6:01.6390,-0.39,0.31,-0.06
2019-11-21 14:6:01.7390,-0.09,0.53,-0.42
2019-11-21 14:6:01.8390,0.23,0.26,-0.31
2019-11-21 14:6:01.9390,0.06,-0.2,0.05
2019-11-21 14:6:02.0390,-0.01,-0.44,0.24
2019-11-21 14:6:02.1390,0.09,-0.28,0.04
2019-11-21 14:6:02.2390,0.58,0.09,0.11
2019-11-21 14:6:02.3390,0.34,0.17,-0.05
2019-11-21 14:6:02.4390,-0.02,0.15,-0.22
2019-11-21 14:6:02.5390,-0.25,-0.19,-0.18
2019-11-21 14:6:02.6390,-0.43,0.05,0.13
2019-11-21 14:6:02.7390,-0.19,0.36,0.14
2019-11-21 14:6:02.8390,0.02,0.68,-0.49
2019-11-21 14:6:02.9390,0.12,0.24,0.04
2019-11-21 14:6:03.0400,0.04,-0.37,0.06
2019-11-21 14:6:03.1390,-0.04,-0.32,0.16
2019-11-21 14:6:03.2390,0.31,-0.16,0.3
2019-11-21 14:6:03.3390,0.63,0.08,0.02
2019-11-21 14:6:03.4390,0.49,0.06,-0.16
2019-11-21 14:6:03.5390,-0.08,-0.12,-0.45
2019-11-21 14:6:03.6400,-0.39,0.02,-0.05
2019-11-21 14:6:03.7400,-0.51,0.21,0.15
2019-11-21 14:6:03.8400,-0.2,0.57,-0.29
2019-11-21 14:6:03.9400,0.09,0.14,-0.21
