time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002000,0.0248,-0.0338,-0.4729,0.475
0.002000,0.0972,0.0163,-0.2029,0.226
0.007000,0.1266,0.0707,0.0388,0.150
0.011000,0.1180,0.0770,0.1531,0.208
0.021000,0.0862,0.0571,0.1529,0.185
0.025000,0.0474,-0.0149,0.0128,0.051
0.030000,0.0065,-0.0531,-0.0669,0.086
0.035000,-0.0271,-0.0980,-0.1343,0.168
0.040000,-0.0393,-0.1258,-0.1515,0.201
0.053000,-0.0493,-0.1249,-0.1165,0.178
0.053000,-0.0405,-0.1049,-0.0439,0.121
0.054000,-0.0083,-0.0900,0.0425,0.100
0.059000,0.0090,-0.0871,0.1188,0.148
0.063000,0.0140,-0.0889,0.1472,0.173
0.070000,0.0044,-0.0885,0.1351,0.162
0.073000,0.0113,-0.0761,0.1112,0.135
0.087000,0.0131,-0.0758,0.1137,0.137
0.087000,-0.0090,-0.1087,0.1353,0.174
0.087000,-0.0455,-0.1437,0.1664,0.225
0.092000,-0.0937,-0.1595,0.2069,0.278
0.097000,-0.1346,-0.1563,0.2519,0.326
0.102000,-0.1895,-0.1270,0.2803,0.361
0.106000,-0.2416,-0.0933,0.2731,0.376
0.111000,-0.2745,-0.0837,0.2594,0.387
0.116000,-0.2717,-0.0625,0.2271,0.360
0.121000,-0.2383,-0.0343,0.1621,0.290
0.126000,-0.1936,-0.0302,0.0668,0.207
0.130000,-0.1496,-0.0498,-0.0204,0.159
0.135000,-0.1278,-0.0906,-0.0477,0.164
0.153000,-0.1521,-0.1881,-0.0272,0.243
0.153000,-0.1693,-0.3157,0.0859,0.368
0.154000,-0.0795,-0.3139,0.0745,0.332
0.159000,-0.0382,-0.2979,0.0178,0.301
0.163000,0.0124,-0.2415,-0.0365,0.245
0.169000,0.1079,-0.1285,-0.0812,0.186
0.173000,-0.0532,-0.3059,-0.0597,0.316
0.188000,-0.2635,-0.5314,-0.0800,0.599
0.188000,0.0776,-0.1043,-0.3071,0.334
0.188000,0.3001,0.2335,-0.1898,0.425
0.192000,0.1458,0.1102,0.2000,0.271
0.197000,0.1286,0.1090,0.2661,0.315
0.201000,0.0857,0.1649,0.1677,0.250
0.206000,-0.0517,0.1419,0.0984,0.180
0.216000,-0.1286,0.0623,0.0415,0.149
0.216000,-0.0766,0.0355,-0.0056,0.085
0.221000,-0.0085,0.0683,-0.0093,0.069
0.225000,-0.0198,0.0840,0.0350,0.093
0.230000,-0.1004,0.0473,0.0795,0.137
0.235000,-0.1428,-0.0605,0.0862,0.177
0.239000,-0.0398,-0.1557,0.1030,0.191
0.244000,0.1412,-0.1695,0.1654,0.276
0.253000,0.2309,-0.1239,0.2134,0.338
0.254000,0.1610,-0.1121,0.2069,0.285
0.258000,0.0586,-0.1670,0.1843,0.256
0.269000,0.0383,-0.1549,0.0951,0.186
0.273000,-0.0823,0.0210,-0.1572,0.179
0.285000,-0.1142,-0.0086,-0.1895,0.221
0.285000,-0.0555,-0.1209,-0.2316,0.267
0.287000,0.0005,-0.1918,-0.2647,0.327
0.291000,0.0371,-0.1290,-0.2338,0.270
0.297000,0.0140,-0.0595,-0.1535,0.165
0.301000,-0.0443,-0.1496,-0.0932,0.182
0.306000,0.0173,-0.2459,-0.1125,0.271
0.311000,0.1766,-0.1537,-0.1820,0.297
0.315000,0.2617,-0.0292,-0.1104,0.286
0.321000,0.2970,0.0086,0.1184,0.320
0.325000,0.2969,-0.0112,0.2441,0.385
0.330000,0.2308,-0.0571,0.1863,0.302
0.335000,0.1465,-0.0835,0.0267,0.171
0.339000,0.1034,-0.0289,-0.1509,0.185
0.353000,0.0797,0.0324,-0.2369,0.252
0.353000,0.1042,-0.0493,-0.2322,0.259
0.354000,0.2314,-0.2441,-0.2184,0.401
0.358000,0.3181,-0.3992,-0.2268,0.559
0.363000,0.2817,-0.3962,-0.1952,0.524
0.368000,0.1462,-0.4099,-0.0785,0.442
0.373000,0.0814,-0.5303,0.0729,0.541
0.387000,0.1748,-0.6426,0.1541,0.684
0.387000,0.2350,-0.6898,0.1395,0.742
0.391000,0.2273,-0.6275,0.1086,0.676
