time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003000,0.1947,-0.0167,0.0348,0.198
0.004000,0.1722,0.0356,0.0064,0.176
0.009000,0.0192,-0.0099,-0.0314,0.038
0.014000,-0.0281,-0.0218,-0.0166,0.039
0.018000,-0.0634,0.0235,0.0527,0.086
0.023000,-0.0390,0.0779,0.1048,0.136
0.028000,0.0185,0.0843,0.0971,0.130
0.033000,0.0281,0.0360,0.0872,0.098
0.037000,-0.0124,-0.0237,0.0750,0.080
0.042000,-0.0645,-0.0472,0.0272,0.084
0.047000,-0.0568,-0.0398,-0.0532,0.087
0.052000,-0.0680,-0.0395,-0.1022,0.129
0.056000,-0.1197,-0.0368,-0.0842,0.151
0.064000,-0.1259,-0.0080,-0.0497,0.136
0.066000,-0.0846,0.0253,-0.0463,0.100
0.071000,-0.0223,0.0298,-0.0525,0.064
0.075000,0.0205,0.0058,-0.0444,0.049
0.080000,0.0463,-0.0132,-0.0364,0.060
0.085000,0.0648,-0.0178,-0.0333,0.075
0.089000,0.0642,-0.0058,-0.0350,0.073
0.094000,0.0588,0.0085,-0.0273,0.065
0.099000,0.0535,0.0084,-0.0220,0.058
0.104000,0.0435,0.0036,-0.0239,0.050
0.108000,0.0384,-0.0012,-0.0329,0.051
0.114000,0.0500,-0.0083,-0.0206,0.055
0.123000,0.0496,-0.0035,-0.0154,0.052
0.128000,0.0065,-0.0012,-0.0198,0.021
0.133000,-0.0125,-0.0035,-0.0123,0.018
0.137000,-0.0219,0.0012,-0.0118,0.025
0.142000,-0.0314,0.0084,-0.0162,0.036
0.147000,-0.0408,-0.0012,-0.0110,0.042
0.151000,-0.0525,-0.0012,0.0012,0.053
0.156000,-0.0524,-0.0011,0.0229,0.057
0.168000,-0.0285,-0.0034,0.0349,0.045
0.169000,-0.0191,-0.0081,0.0254,0.033
0.170000,-0.0146,-0.0151,0.0136,0.025
0.175000,-0.0101,-0.0101,0.0113,0.018
0.180000,-0.0105,0.0043,0.0068,0.013
0.185000,-0.0180,-0.0028,0.0165,0.025
0.190000,-0.0207,-0.0003,0.0095,0.023
0.195000,-0.0044,0.0093,0.0026,0.011
0.199000,-0.0024,0.0045,-0.0066,0.008
0.204000,-0.0006,-0.0049,-0.0253,0.026
0.208000,0.0155,-0.0143,-0.0367,0.042
0.214000,0.0410,-0.0069,-0.0291,0.051
0.218000,0.0640,-0.0021,-0.0001,0.064
0.223000,0.0631,-0.0020,0.0168,0.065
0.228000,0.0622,0.0005,0.0122,0.063
0.233000,0.0614,0.0029,0.0003,0.061
0.242000,0.0534,0.0006,0.0004,0.053
0.247000,0.0218,-0.0041,0.0125,0.025
0.251000,0.0023,-0.0136,0.0174,0.022
0.256000,-0.0099,-0.0039,0.0223,0.025
0.268000,-0.0125,0.0104,0.0248,0.030
0.269000,-0.0008,0.0056,0.0273,0.028
