time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001000,0.0430,0.3830,-0.4623,0.602
0.005000,0.0956,0.4592,-0.1607,0.496
0.008000,0.1997,0.4698,0.2116,0.553
0.013000,0.3124,0.3861,0.6133,0.789
0.022000,0.4124,0.2721,0.9369,1.059
0.023000,0.4334,0.1920,1.1235,1.219
0.027000,0.3497,0.1267,1.1531,1.212
0.032000,0.2193,0.0904,1.0625,1.089
0.041000,0.1069,0.0883,0.9267,0.937
0.042000,0.0459,0.0804,0.7605,0.766
0.046000,0.0123,0.0790,0.5787,0.584
0.058000,-0.0200,0.0705,0.4194,0.426
0.059000,-0.0438,0.0601,0.2924,0.302
0.061000,-0.0450,0.0764,0.1877,0.208
0.065000,-0.0241,0.1001,0.0912,0.138
0.074000,-0.0173,0.1239,0.0359,0.130
0.076000,-0.0153,0.1498,0.0118,0.151
0.080000,-0.0020,0.1753,-0.0048,0.175
0.120000,0.0058,0.1883,-0.0119,0.189
0.121000,0.0002,0.1741,-0.0168,0.175
0.121000,0.0054,0.1619,-0.0287,0.164
0.121000,-0.0022,0.1635,-0.0406,0.168
0.121000,-0.0226,0.1385,-0.0454,0.147
0.121000,-0.0412,0.1064,-0.0809,0.140
0.121000,-0.0486,0.0862,-0.1183,0.154
0.124000,-0.0515,0.0876,-0.1151,0.154
0.127000,-0.0497,0.0821,-0.1141,0.149
0.132000,-0.0527,0.0509,-0.1390,0.157
0.140000,-0.0483,0.0322,-0.1423,0.154
0.142000,-0.0152,0.0424,-0.0955,0.106
0.146000,0.0107,0.0455,-0.0326,0.057
0.158000,0.0152,0.0556,0.0156,0.060
0.158000,-0.0133,0.0773,0.0797,0.112
0.161000,-0.0297,0.1029,0.1668,0.198
0.165000,0.0088,0.1300,0.2125,0.249
0.173000,0.0492,0.1516,0.1958,0.252
0.175000,0.0586,0.1678,0.1434,0.228
0.179000,0.0562,0.1839,0.0748,0.206
0.228000,0.0447,0.2048,0.0092,0.210
0.229000,0.0458,0.2095,-0.0486,0.220
0.229000,0.0478,0.2053,-0.0584,0.219
0.229000,0.0511,0.1733,-0.0229,0.182
0.229000,0.0646,0.1231,-0.0161,0.140
0.229000,0.0763,0.1118,-0.0069,0.136
0.229000,0.0839,0.1362,0.0424,0.166
0.229000,0.0394,0.1295,0.1387,0.194
0.229000,0.0239,0.1057,0.1699,0.202
0.232000,0.0253,0.0914,0.1935,0.216
0.237000,0.0242,0.0793,0.1931,0.210
0.241000,-0.0171,0.0861,0.1641,0.186
0.246000,-0.0439,0.1094,0.1115,0.162
0.256000,-0.0347,0.1351,0.0500,0.148
0.257000,-0.0086,0.1774,0.0104,0.178
0.261000,0.0365,0.2362,0.0020,0.239
0.265000,0.0647,0.2851,0.0009,0.292
0.310000,0.0641,0.3219,-0.0239,0.329
0.310000,0.0394,0.3513,-0.0508,0.357
0.310000,0.0073,0.3827,-0.0441,0.385
0.310000,0.0036,0.4161,-0.0162,0.416
0.310000,-0.0003,0.4228,0.0210,0.423
0.310000,-0.0092,0.4102,0.0530,0.414
0.310000,-0.0302,0.3976,0.0515,0.402
0.310000,-0.0607,0.3920,0.0192,0.397
0.310000,-0.0983,0.3816,-0.0153,0.394
0.313000,-0.1311,0.3782,-0.0590,0.405
0.323000,-0.1286,0.3915,-0.1117,0.427
0.323000,-0.0985,0.4257,-0.1544,0.463
0.327000,-0.0604,0.4736,-0.2157,0.524
0.332000,-0.0431,0.5183,-0.2953,0.598
0.341000,-0.0356,0.5664,-0.3266,0.655
0.346000,0.0248,0.6463,-0.2177,0.682
0.356000,0.0551,0.6322,-0.1455,0.651
0.357000,0.0438,0.6031,-0.1001,0.613
0.360000,0.0078,0.5736,-0.1002,0.582
0.365000,-0.0360,0.5580,-0.1099,0.570
0.410000,-0.0518,0.5634,-0.0767,0.571
0.410000,-0.0133,0.5872,-0.0059,0.587
0.410000,0.0530,0.5959,0.0688,0.602
0.410000,0.0947,0.5710,0.0883,0.586
0.410000,0.0814,0.5532,0.0625,0.563
0.410000,0.0706,0.5448,0.0179,0.550
0.410000,0.0790,0.5464,-0.0405,0.554
0.410000,0.1187,0.5318,-0.0673,0.549
0.410000,0.1487,0.5061,-0.1435,0.547
0.413000,0.1431,0.4600,-0.2353,0.536
0.421000,0.1492,0.4126,-0.2857,0.524
0.422000,0.1687,0.4257,-0.3754,0.592
0.427000,0.1749,0.4917,-0.4851,0.713
0.432000,0.1676,0.5341,-0.5932,0.816
0.441000,0.1278,0.5320,-0.7042,0.892
0.442000,0.0579,0.5096,-0.8039,0.954
0.446000,0.0031,0.4790,-0.9016,1.021
0.457000,-0.0396,0.4402,-0.9807,1.076
0.458000,-0.1059,0.4029,-0.9795,1.064
0.465000,-0.1959,0.3738,-0.8466,0.946
0.474000,-0.2452,0.3092,-0.3365,0.519
0.475000,-0.2547,0.2593,-0.1247,0.384
0.479000,-0.2457,0.1952,0.0239,0.315
0.545000,-0.2278,0.1172,0.1239,0.285
0.546000,-0.2279,0.0542,0.1358,0.271
0.546000,-0.0461,-0.0743,-0.2737,0.287
0.546000,-0.0926,-0.1041,-0.4107,0.434
0.546000,-0.5990,0.0994,0.0115,0.607
0.546000,-0.8886,0.3397,0.3378,1.009
0.546000,-0.7136,0.4721,0.4857,0.984
0.546000,-0.3561,0.4878,0.4425,0.749
0.546000,-0.0956,0.4424,0.3478,0.571
0.547000,0.0205,0.3627,0.2400,0.435
0.547000,0.2056,0.3180,0.0179,0.379
0.547000,0.3361,0.3646,-0.0259,0.497
0.547000,0.2418,0.4660,0.0881,0.532
0.547000,0.1123,0.5744,0.0617,0.589
0.557000,-0.0042,0.6730,0.0597,0.676
0.557000,-0.0961,0.7047,0.0535,0.713
0.560000,-0.1628,0.6487,0.1519,0.686
0.565000,-0.1548,0.5193,0.5762,0.791
0.614000,-0.0786,0.3215,1.2612,1.304
0.615000,-0.0988,0.1056,1.7014,1.708
0.615000,-0.2414,-0.0305,1.6760,1.694
0.615000,-0.3604,-0.0930,1.5357,1.580
0.615000,-0.4410,0.1440,1.2249,1.310
0.615000,-0.4222,0.3455,0.9826,1.124
0.615000,-0.4172,0.5141,0.7632,1.010
0.615000,-0.3934,0.6382,0.5219,0.914
0.615000,-0.3158,0.7113,0.2567,0.820
0.619000,-0.1877,0.7482,0.0226,0.772
0.622000,-0.0716,0.7494,-0.1733,0.772
0.626000,-0.0317,0.7368,-0.3619,0.821
0.631000,-0.0891,0.7391,-0.5169,0.906
0.636000,-0.2053,0.7655,-0.5674,0.975
0.641000,-0.3395,0.8204,-0.5641,1.052
0.645000,-0.4349,0.9173,-0.5598,1.159
0.650000,-0.4231,1.0675,-0.5117,1.257
0.656000,-0.3029,1.2179,-0.4441,1.331
0.660000,-0.1601,1.3326,-0.3502,1.387
0.665000,-0.0274,1.4188,-0.1785,1.430
0.721000,0.1436,1.4532,-0.0081,1.460
0.721000,0.2907,1.4039,0.0475,1.434
0.721000,0.3031,1.3041,-0.0019,1.339
0.722000,0.2059,1.2168,-0.0581,1.235
0.722000,0.0668,1.1474,-0.0733,1.152
0.722000,-0.0725,1.0846,-0.0766,1.090
0.722000,-0.1920,1.0070,-0.0011,1.025
0.722000,-0.2768,0.9006,0.1407,0.953
0.722000,-0.3237,0.7832,0.2211,0.876
0.722000,-0.2259,0.7201,0.3087,0.815
0.722000,-0.1507,0.7820,0.3122,0.855
0.726000,-0.1179,0.8393,0.2750,0.891
0.731000,-0.2070,0.8417,0.2260,0.896
0.736000,-0.3584,0.8153,0.1628,0.905
0.741000,-0.4120,0.8081,0.0810,0.911
0.745000,-0.4161,0.7842,-0.0456,0.889
0.750000,-0.4762,0.7154,-0.1880,0.880
0.756000,-0.5351,0.6662,-0.3149,0.911
0.760000,-0.4905,0.6628,-0.4595,0.944
0.764000,-0.3811,0.7052,-0.6241,1.016
0.821000,-0.2601,0.7857,-0.7749,1.134
0.822000,-0.1091,0.8658,-0.8975,1.252
0.822000,0.0402,0.9187,-1.0036,1.361
0.822000,0.1418,0.9393,-1.0667,1.428
0.822000,0.2316,0.9247,-1.0847,1.444
0.822000,0.3190,0.8794,-1.0695,1.421
0.822000,0.3683,0.7794,-1.0548,1.362
0.822000,0.3627,0.6249,-1.0857,1.304
0.823000,0.3287,0.4544,-1.1045,1.239
0.823000,0.2812,0.2874,-1.1160,1.186
0.823000,0.2067,0.1319,-1.1514,1.177
0.823000,0.1346,-0.0357,-1.2200,1.228
0.826000,0.0988,-0.2051,-1.3243,1.344
0.836000,0.1060,-0.3672,-1.4044,1.455
0.841000,0.1575,-0.7564,-1.5274,1.712
0.846000,0.0729,-1.0063,-1.5209,1.825
0.851000,0.0226,-1.2460,-1.4593,1.919
0.857000,-0.0330,-1.5063,-1.3792,2.043
0.860000,-0.0934,-1.8056,-1.2878,2.220
0.865000,-0.1508,-2.0959,-1.2595,2.450
0.921000,-0.2124,-2.3576,-1.3083,2.705
0.922000,-0.2712,-2.5691,-1.3599,2.919
0.922000,-0.2799,-2.6735,-1.3875,3.025
0.922000,-0.2390,-2.6995,-1.3910,3.046
0.922000,-0.1532,-2.7074,-1.3775,3.042
0.923000,-0.0585,-2.7164,-1.3326,3.026
0.923000,0.0215,-2.7359,-1.2804,3.021
0.923000,0.0961,-2.7758,-1.2158,3.032
0.923000,0.1678,-2.8505,-1.1366,3.073
0.923000,0.2461,-2.9149,-0.9997,3.091
0.923000,0.3264,-2.9550,-0.7744,3.072
0.924000,0.4140,-3.0164,-0.4971,3.085
