,time,x_accel,y_accel,z_accel,tester
0,14.957906694412232,0.05426666666666667,0.2562000000000001,-0.020433333333333338,3
1,14.95805996576945,0.050599999999999964,0.26860000000000006,-0.08329999999999999,3
2,14.957763300736746,0.11336666666666666,0.3180666666666667,-0.060399999999999954,3
3,14.95790655374527,-0.11746666666666662,0.38090000000000007,-0.07913333333333333,3
4,14.958310000101726,-0.056800000000000045,0.3536,-0.0681333333333333,3
5,14.960419903596243,-0.05376666666666668,0.35883333333333334,-0.09893333333333337,3
6,14.958103244304658,0.05139999999999998,0.04306666666666665,-0.03420000000000001,3
7,14.957686622142791,0.03959999999999999,0.034499999999999996,-0.039666666666666656,3
8,14.958103408813477,0.027099999999999985,0.03620000000000001,-0.03320000000000001,3
9,14.958113411267599,-0.061933333333333375,0.026066666666666675,-0.048199999999999965,3
10,14.957483337720236,-0.05819999999999998,0.03889999999999999,-0.050066666666666704,3
11,14.957159945964813,-0.052066666666666664,0.041133333333333334,-0.05856666666666668,3
