time,ax,ay,az
2019-11-21 14:7:21.9800,0.22,-0.09,0.16
2019-11-21 14:7:22.0800,0.59,0.15,-0.06
2019-11-21 14:7:22.1800,0.37,0.0,-0.05
2019-11-21 14:7:22.2800,-0.08,-0.1,-0.25
2019-11-21 14:7:22.3800,-0.33,-0.12,0.15
2019-11-21 14:7:22.4810,-0.18,-0.03,-0.02
2019-11-21 14:7:22.5800,-0.1,0.47,-0.35
2019-11-21 14:7:22.6800,-0.1,0.05,-0.41
2019-11-21 14:7:22.7800,0.02,-0.03,-0.02
2019-11-21 14:7:22.8800,-0.19,-0.21,0.03
2019-11-21 14:7:22.9810,0.02,-0.25,0.09
2019-11-21 14:7:23.0810,0.32,-0.09,0.16
2019-11-21 14:7:23.1810,0.67,0.29,-0.1
2019-11-21 14:7:23.2800,0.38,0.07,0.01
2019-11-21 14:7:23.3810,-0.0,-0.03,-0.26
2019-11-21 14:7:23.4810,-0.35,-0.0,0.01
2019-11-21 14:7:23.5810,-0.43,0.15,-0.11
2019-11-21 14:7:23.6810,-0.22,0.54,-0.2
2019-11-21 14:7:23.7810,-0.21,0.37,-0.19
2019-11-21 14:7:23.8810,0.08,0.2,-0.15
2019-11-21 14:7:23.9810,0.04,-0.34,0.03
2019-11-21 14:7:24.0810,0.03,-0.23,0.12
2019-11-21 14:7:24.1810,0.38,-0.08,0.05
2019-11-21 14:7:24.2810,0.44,-0.03,0.05
2019-11-21 14:7:24.3810,0.41,-0.12,-0.08
2019-11-21 14:7:24.4810,0.09,-0.03,-0.26
2019-11-21 14:7:24.5810,-0.15,-0.02,0.02
2019-11-21 14:7:24.6810,-0.15,0.08,-0.11
2019-11-21 14:7:24.7810,-0.26,0.45,-0.17
2019-11-21 14:7:24.8810,-0.36,0.34,-0.1
2019-11-21 14:7:24.9810,-0.23,0.4,-0.09
2019-11-21 14:7:25.0810,-0.14,-0.03,0.06
2019-11-21 14:7:25.1810,0.08,-0.13,-0.02
2019-11-21 14:7:25.2810,0.19,-0.16,0.17
2019-11-21 14:7:25.3810,0.57,0.04,-0.08
2019-11-21 14:7:25.4820,0.61,-0.14,0.01
2019-11-21 14:7:25.5820,0.16,-0.1,-0.11
2019-11-21 14:7:25.6820,-0.14,-0.15,-0.03
2019-11-21 14:7:25.7820,-0.44,0.09,-0.12
2019-11-21 14:7:25.8820,-0.16,0.37,-0.22
2019-11-21 14:7:25.9820,-0.14,0.39,-0.19
2019-11-21 14:7:26.0820,-0.0,0.22,-0.12
2019-11-21 14:7:26.1820,-0.06,-0.27,0.1
2019-11-21 14:7:26.2820,-0.04,-0.22,0.08
2019-11-21 14:7:26.3820,0.24,-0.14,0.18
2019-11-21 14:7:26.4820,0.53,0.01,0.06
2019-11-21 14:7:26.5820,0.44,0.08,-0.02
2019-11-21 14:7:26.6820,0.01,-0.09,-0.17
2019-11-21 14:7:26.7820,-0.1,-0.2,-0.06
2019-11-21 14:7:26.8820,-0.33,0.04,-0.05
2019-11-21 14:7:26.9830,-0.2,0.53,-0.19
2019-11-21 14:7:27.0820,-0.23,0.37,-0.4
2019-11-21 14:7:27.1820,0.01,0.1,-0.0
2019-11-21 14:7:27.2820,-0.0,-0.29,0.04
2019-11-21 14:7:27.3830,0.09,-0.27,0.15
2019-11-21 14:7:27.4830,0.28,-0.17,0.16
2019-11-21 14:7:27.5830,0.52,0.11,0.06
2019-11-21 14:7:27.6830,0.33,0.15,-0.02
2019-11-21 14:7:27.7830,0.07,-0.02,-0.23
